ID заказа,Дата отправки,Расстояние (км),Опыт водителя (лет),Вес груза (кг),Тип груза,Погодные условия,Сезон,Время суток,День недели,Задержка доставки (дней),Группа опыта
OD32210,2019-01-19,661,19,21447,Опасный,Метель,Зима,День,Суббота,1,11-20
OD29638,2019-01-19,1628,28,32693,Обычный,Ясно,Зима,Вечер,Суббота,5,21-30
DL82742,2019-01-19,2278,31,30391,Опасный,Снег,Зима,Вечер,Суббота,5,30+
OR77255,2019-01-19,424,8,12431,Хрупкий,Метель,Зима,Вечер,Суббота,0,6-10
DL49389,2019-01-19,531,14,7821,Замороженный,Ясно,Зима,День,Суббота,0,11-20
DL98291,2019-01-19,828,12,9684,Обычный,Ясно,Зима,Ночь,Суббота,0,11-20
OR60891,2019-01-19,832,15,12135,Опасный,Снег,Зима,Вечер,Суббота,0,11-20
OR98071,2019-01-19,964,14,12531,Замороженный,Ясно,Зима,Утро,Суббота,0,11-20
DL10167,2019-01-19,576,8,11344,Обычный,Ясно,Зима,Вечер,Суббота,0,6-10
OR42391,2019-01-19,2041,31,29967,Опасный,Снег,Зима,Вечер,Суббота,4,30+
OD72672,2019-01-20,2393,40,34881,Замороженный,Ясно,Зима,День,Воскресенье,6,30+
DL20352,2019-01-21,2135,28,28319,Обычный,Метель,Зима,День,Понедельник,5,21-30
DL15459,2019-01-21,1139,12,14300,Обычный,Снег,Зима,Вечер,Понедельник,1,11-20
OR43479,2019-01-21,1135,23,23281,Опасный,Ясно,Зима,Утро,Понедельник,2,21-30
OR31078,2019-01-22,1889,26,18649,Хрупкий,Ясно,Зима,Вечер,Вторник,3,21-30
OR68103,2019-01-22,1323,13,12134,Замороженный,Снег,Зима,День,Вторник,1,11-20
OR22031,2019-01-22,1262,24,28850,Замороженный,Снег,Зима,День,Вторник,3,21-30
DL63356,2019-01-22,713,11,16125,Опасный,Снег,Зима,День,Вторник,0,11-20
OD68519,2019-01-22,1323,23,26385,Обычный,Снег,Зима,Ночь,Вторник,3,21-30
OD63410,2019-01-22,1038,12,10502,Опасный,Снег,Зима,Утро,Вторник,0,11-20
DL36732,2019-01-22,1358,19,24350,Замороженный,Ясно,Зима,День,Вторник,2,11-20
OD45323,2019-01-23,798,10,11545,Обычный,Ясно,Зима,Вечер,Среда,0,6-10
OR17117,2019-01-23,1484,23,18332,Хрупкий,Снег,Зима,День,Среда,2,21-30
OD75934,2019-01-23,1285,13,6660,Обычный,Ясно,Зима,Ночь,Среда,0,11-20
OD40540,2019-01-23,676,11,14930,Обычный,Снег,Зима,Вечер,Среда,0,11-20
DL54090,2019-01-24,775,,9259,Хрупкий,Ясно,Зима,Вечер,Четверг,0,
DL69758,2019-01-24,912,20,18347,Опасный,Снег,Зима,Ночь,Четверг,1,11-20
DL53355,2019-01-24,1559,27,21710,Хрупкий,Метель,Зима,Ночь,Четверг,3,21-30
DL13142,2019-01-25,939,10,12503,Опасный,Ясно,Зима,Вечер,Пятница,0,6-10
OR66442,2019-01-25,1354,17,19008,Хрупкий,Ясно,Зима,Ночь,Пятница,2,11-20
DL39988,2019-01-25,441,15,11195,Замороженный,Метель,Зима,Утро,Пятница,0,11-20
OR44057,2019-01-25,678,10,10643,Замороженный,Метель,Зима,Утро,Пятница,0,6-10
DL21105,2019-01-25,591,16,8730,Обычный,Ясно,Зима,Ночь,Пятница,0,11-20
OR99151,2019-01-25,1083,9,11651,Хрупкий,Метель,Зима,День,Пятница,0,6-10
OD33633,2019-01-25,937,17,14471,Обычный,Ясно,Зима,День,Пятница,2,11-20
OR26589,2019-01-26,1036,16,20060,Опасный,Ясно,Зима,День,Суббота,2,11-20
OD86840,2019-01-26,976,12,7662,Обычный,Ясно,Зима,Утро,Суббота,0,11-20
DL86028,2019-01-26,1435,20,18584,Хрупкий,Ясно,Зима,Вечер,Суббота,3,11-20
OD54688,2019-01-26,411,13,14623,Замороженный,Ясно,Зима,Вечер,Суббота,0,11-20
OD26708,2019-01-27,1815,30,31342,Обычный,Снег,Зима,Вечер,Воскресенье,4,21-30
OR88388,2019-01-27,1219,20,21400,Обычный,Снег,Зима,Ночь,Воскресенье,3,11-20
OR63590,2019-01-27,916,20,16794,Хрупкий,Ясно,Зима,Вечер,Воскресенье,1,11-20
OD10292,2019-01-28,1706,30,27897,Опасный,Снег,Зима,Ночь,Понедельник,4,21-30
OD57728,2019-01-28,984,20,18847,Хрупкий,Метель,Зима,Ночь,Понедельник,2,11-20
OR12827,2019-01-28,1419,23,18584,Опасный,Ясно,Зима,Ночь,Понедельник,2,21-30
OD30515,2019-01-29,1281,24,21370,Замороженный,Ясно,Зима,День,Вторник,3,21-30
DL55921,2019-01-29,1233,12,11444,Хрупкий,Метель,Зима,Утро,Вторник,1,11-20
DL82618,2019-01-29,1089,19,19955,Обычный,Снег,Зима,Вечер,Вторник,1,11-20
DL62684,2019-01-29,681,7,6590,Опасный,Ясно,Зима,День,Вторник,0,6-10
DL62668,2019-01-29,1310,23,14609,Хрупкий,Туман,Зима,Вечер,Вторник,2,21-30
OR19137,2019-01-29,544,9,6894,Хрупкий,Ясно,Зима,Ночь,Вторник,0,6-10
OR19400,2019-01-29,987,17,22833,Хрупкий,Снег,Зима,Утро,Вторник,2,11-20
DL94828,2019-01-30,968,14,9334,Обычный,Метель,Зима,Утро,Среда,0,11-20
DL40124,2019-01-30,1527,17,21785,Хрупкий,Ясно,Зима,Утро,Среда,2,11-20
OD77839,2019-01-31,683,13,6988,Опасный,Ясно,Зима,Вечер,Четверг,0,11-20
OR38093,2019-01-31,942,10,9978,Обычный,Ясно,Зима,Ночь,Четверг,0,6-10
DL53845,2019-01-31,560,,9315,Хрупкий,Ясно,Зима,Ночь,Четверг,0,
OR90251,2019-01-31,383,15,13403,Обычный,Ясно,Зима,Ночь,Четверг,0,11-20
DL75452,2019-02-02,1446,24,28047,Хрупкий,Метель,Зима,Вечер,Суббота,4,21-30
OD79930,2019-02-02,640,12,17563,Опасный,Снег,Зима,Ночь,Суббота,1,11-20
OD39147,2019-02-04,665,8,11543,Хрупкий,Метель,Зима,День,Понедельник,0,6-10
OD56860,2019-02-04,433,15,8734,Хрупкий,,Зима,Ночь,Понедельник,0,11-20
DL63385,2019-02-04,731,19,16205,Хрупкий,Туман,Зима,Вечер,Понедельник,1,11-20
DL75667,2019-02-04,949,23,20307,Хрупкий,Ясно,Зима,День,Понедельник,2,21-30
OR35961,2019-02-04,490,9,17183,Обычный,Ясно,Зима,Вечер,Понедельник,0,6-10
DL51791,2019-02-05,967,,11432,Замороженный,Ясно,Зима,Ночь,Вторник,1,
OD27808,2019-02-05,403,10,9545,Хрупкий,Ясно,Зима,Утро,Вторник,0,6-10
OR54682,2019-02-05,1079,11,7633,Замороженный,Ясно,Зима,Вечер,Вторник,0,11-20
OR32493,2019-02-05,908,13,9589,Замороженный,,Зима,Утро,Вторник,0,11-20
OD98963,2019-02-05,2475,,33597,Опасный,Ясно,Зима,Утро,Вторник,6,
DL41799,2019-02-06,1391,11,7025,Обычный,Снег,Зима,Ночь,Среда,0,11-20
DL87851,2019-02-06,1333,18,10895,Обычный,Ясно,Зима,Вечер,Среда,1,11-20
OD20700,2019-02-06,646,15,12432,Хрупкий,Ясно,Зима,Ночь,Среда,0,11-20
OD95534,2019-02-06,755,13,10968,Хрупкий,Ясно,Зима,День,Среда,0,11-20
OR84461,2019-02-07,1164,10,14166,Опасный,Ясно,Зима,День,Четверг,0,6-10
OD68910,2019-02-07,696,10,13927,Обычный,Туман,Зима,Вечер,Четверг,0,6-10
OD79536,2019-02-07,663,13,14709,Опасный,Метель,Зима,Утро,Четверг,1,11-20
OD54833,2019-02-07,885,11,12043,Хрупкий,Ясно,Зима,Утро,Четверг,0,11-20
OD18257,2019-02-08,1649,21,17141,Опасный,Снег,Зима,Ночь,Пятница,2,21-30
DL34766,2019-02-08,1277,8,13604,Обычный,Снег,Зима,Вечер,Пятница,0,6-10
OD25031,2019-02-08,431,10,10212,Обычный,Ясно,Зима,Вечер,Пятница,0,6-10
OD42207,2019-02-08,803,7,10227,Обычный,Снег,Зима,Утро,Пятница,0,6-10
DL76419,2019-02-08,469,14,12223,Опасный,Ясно,Зима,День,Пятница,0,11-20
OR18816,2019-02-08,1918,32,39475,Хрупкий,Ясно,Зима,Ночь,Пятница,6,30+
OD27197,2019-02-09,1128,7,11898,Обычный,Ясно,Зима,Вечер,Суббота,0,6-10
OR23960,2019-02-09,427,9,11827,Опасный,Ясно,Зима,Вечер,Суббота,0,6-10
OD18283,2019-02-09,741,,16008,Хрупкий,Ясно,Зима,Ночь,Суббота,0,
OD88180,2019-02-09,1380,28,30111,Опасный,Метель,Зима,Утро,Суббота,4,21-30
DL64302,2019-02-09,2042,36,27419,Хрупкий,Снег,Зима,День,Суббота,5,30+
OR50013,2019-02-09,456,11,13318,Опасный,Ясно,Зима,Ночь,Суббота,0,11-20
OD54475,2019-02-10,1568,27,30814,Замороженный,Ясно,Зима,Ночь,Воскресенье,4,21-30
DL31854,2019-02-10,1068,7,12729,Хрупкий,Туман,Зима,День,Воскресенье,0,6-10
DL56845,2019-02-10,1525,26,19862,Опасный,Туман,Зима,Утро,Воскресенье,3,21-30
DL11239,2019-02-10,1120,9,11881,Хрупкий,Снег,Зима,Ночь,Воскресенье,0,6-10
OR61556,2019-02-10,1423,28,27462,Хрупкий,Ясно,Зима,Утро,Воскресенье,3,21-30
OR58535,2019-02-10,390,11,12268,Обычный,Снег,Зима,Вечер,Воскресенье,0,11-20
OD14078,2019-02-10,1471,27,19581,Опасный,Метель,Зима,Вечер,Воскресенье,3,21-30
OR60105,2019-02-10,437,15,11271,Обычный,Ясно,Зима,Вечер,Воскресенье,0,11-20
DL98034,2019-02-11,983,17,13528,Обычный,Метель,Зима,Ночь,Понедельник,1,11-20
DL11014,2019-02-11,2309,32,28555,Опасный,Снег,Зима,Ночь,Понедельник,5,30+
DL99741,2019-02-12,1268,19,15593,Хрупкий,Ясно,Зима,День,Вторник,2,11-20
DL45363,2019-02-12,384,12,9592,Замороженный,Ясно,Зима,Утро,Вторник,0,11-20
OD60014,2019-02-12,1007,17,17710,Обычный,Снег,Зима,Утро,Вторник,1,11-20
OR51473,2019-02-12,1207,21,16897,Обычный,Ясно,Зима,День,Вторник,2,21-30
OR64683,2019-02-12,838,15,9797,Обычный,Метель,Зима,Вечер,Вторник,0,11-20
OR25880,2019-02-12,573,8,16290,Хрупкий,Ясно,Зима,Ночь,Вторник,0,6-10
DL99655,2019-02-12,779,10,8354,Обычный,Снег,Зима,Ночь,Вторник,0,6-10
OD43019,2019-02-12,932,15,15433,Обычный,Ясно,Зима,Ночь,Вторник,0,11-20
DL43074,2019-02-13,910,8,12388,Замороженный,Ясно,Зима,Утро,Среда,0,6-10
DL80569,2019-02-13,878,8,14094,Обычный,Метель,Зима,День,Среда,0,6-10
DL29245,2019-02-13,2141,31,31553,Обычный,Снег,Зима,Ночь,Среда,5,30+
OR25543,2019-02-14,986,13,7760,Опасный,Ясно,Зима,Ночь,Четверг,0,11-20
OD47312,2019-02-14,1102,21,29651,Хрупкий,Туман,Зима,Утро,Четверг,3,21-30
DL78039,2019-02-14,1068,15,12408,Хрупкий,Ясно,Зима,День,Четверг,0,11-20
OR54361,2019-02-14,919,15,11405,Хрупкий,Снег,Зима,Ночь,Четверг,1,11-20
OR87097,2019-02-15,666,16,12819,Опасный,Ясно,Зима,Ночь,Пятница,0,11-20
DL28339,2019-02-15,645,10,15020,Хрупкий,Снег,Зима,Ночь,Пятница,0,6-10
OD55154,2019-02-15,1460,22,20291,Обычный,Снег,Зима,День,Пятница,2,21-30
DL85061,2019-02-16,1160,10,15234,Хрупкий,Ясно,Зима,Ночь,Суббота,0,6-10
OD32892,2019-02-16,1570,21,19721,Опасный,Снег,Зима,Вечер,Суббота,3,21-30
OD43386,2019-02-16,1364,18,12493,Хрупкий,Ясно,Зима,Утро,Суббота,1,11-20
OR68160,2019-02-16,728,11,15351,Опасный,Снег,Зима,Утро,Суббота,0,11-20
OR96956,2019-02-17,546,8,13094,Обычный,Ясно,Зима,Утро,Воскресенье,0,6-10
DL94037,2019-02-17,854,9,12116,Хрупкий,Туман,Зима,Ночь,Воскресенье,0,6-10
OR80451,2019-02-18,1147,9,15699,Обычный,Ясно,Зима,Утро,Понедельник,0,6-10
OR54520,2019-02-18,591,10,6848,Обычный,Снег,Зима,Ночь,Понедельник,0,6-10
DL45941,2019-02-18,1550,19,20540,Замороженный,Снег,Зима,День,Понедельник,2,11-20
DL74886,2019-02-18,1460,24,27022,Хрупкий,Ясно,Зима,День,Понедельник,4,21-30
OR99680,2019-02-18,416,8,8188,Обычный,Ясно,Зима,Вечер,Понедельник,0,6-10
OR14898,2019-02-18,882,10,11276,Хрупкий,Ясно,Зима,День,Понедельник,0,6-10
OR85761,2019-02-19,887,19,17742,Хрупкий,Ясно,Зима,Утро,Вторник,1,11-20
OR82376,2019-02-19,1102,10,12692,Замороженный,Снег,Зима,Ночь,Вторник,0,6-10
OR53959,2019-02-19,775,13,11915,Опасный,Снег,Зима,Утро,Вторник,0,11-20
OD97423,2019-02-20,1403,18,20838,Обычный,,Зима,Ночь,Среда,2,11-20
OR82252,2019-02-20,649,11,7900,Обычный,Снег,Зима,Ночь,Среда,0,11-20
OD39855,2019-02-20,1440,17,15497,Опасный,Метель,Зима,Утро,Среда,2,11-20
OR99780,2019-02-20,681,8,8027,Обычный,Снег,Зима,День,Среда,0,6-10
DL72172,2019-02-21,689,16,10443,Хрупкий,,Зима,Ночь,Четверг,0,11-20
DL26194,2019-02-21,1947,28,29799,Опасный,Ясно,Зима,День,Четверг,4,21-30
DL12367,2019-02-21,1240,23,26709,Опасный,Ясно,Зима,Вечер,Четверг,3,21-30
OR89515,2019-02-21,1730,29,24110,Обычный,Снег,Зима,День,Четверг,4,21-30
DL89112,2019-02-22,1241,18,16703,Опасный,Метель,Зима,Утро,Пятница,2,11-20
DL26481,2019-02-22,689,10,14913,Опасный,Снег,Зима,День,Пятница,0,6-10
OD21483,2019-02-23,1821,24,26195,Обычный,Снег,Зима,Утро,Суббота,4,21-30
OD59721,2019-02-23,514,10,8845,Опасный,Снег,Зима,Вечер,Суббота,0,6-10
OR80564,2019-02-23,1724,16,16913,Обычный,Ясно,Зима,День,Суббота,2,11-20
OD72692,2019-02-24,1051,17,15292,Обычный,Снег,Зима,Утро,Воскресенье,1,11-20
OR75345,2019-02-24,388,14,16338,Хрупкий,Ясно,Зима,Утро,Воскресенье,0,11-20
OD25316,2019-02-24,447,9,11871,Опасный,Ясно,Зима,День,Воскресенье,0,6-10
OR42643,2019-02-24,1998,30,30572,Опасный,Ясно,Зима,Утро,Воскресенье,4,21-30
OR85086,2019-02-24,2317,,33037,Обычный,Ясно,Зима,Ночь,Воскресенье,5,
OR44353,2019-02-24,1679,27,28990,Хрупкий,Ясно,Зима,Ночь,Воскресенье,4,21-30
OR33083,2019-02-24,949,7,11088,Хрупкий,Ясно,Зима,Вечер,Воскресенье,0,6-10
OD19972,2019-02-25,1000,18,15705,Опасный,Метель,Зима,Утро,Понедельник,1,11-20
DL59377,2019-02-25,1510,24,22814,Опасный,Снег,Зима,День,Понедельник,4,21-30
DL31152,2019-02-25,2460,43,38831,Хрупкий,Снег,Зима,День,Понедельник,8,30+
OR55253,2019-02-25,946,16,17786,Опасный,Метель,Зима,Вечер,Понедельник,1,11-20
OR10908,2019-02-25,882,16,9513,Хрупкий,Ясно,Зима,Утро,Понедельник,0,11-20
OD41886,2019-02-26,509,8,12862,Опасный,Ясно,Зима,Утро,Вторник,0,6-10
OD74631,2019-02-26,1208,13,15299,Опасный,Ясно,Зима,Вечер,Вторник,0,11-20
OR66178,2019-02-26,1301,20,17902,Обычный,Снег,Зима,Утро,Вторник,1,11-20
OD81628,2019-02-27,857,11,7855,Обычный,Ясно,Зима,Ночь,Среда,0,11-20
OD24484,2019-02-27,586,,11458,Обычный,Ясно,Зима,Вечер,Среда,0,
OD69569,2019-02-27,613,,12782,Хрупкий,Ясно,Зима,Вечер,Среда,0,
OD20340,2019-02-28,689,8,7068,Обычный,Ясно,Зима,Ночь,Четверг,0,6-10
OD80181,2019-02-28,1101,14,10892,Замороженный,Ясно,Зима,Утро,Четверг,0,11-20
OD42411,2019-02-28,601,13,16620,Обычный,Снег,Зима,Вечер,Четверг,0,11-20
DL85648,2019-03-01,1613,,29066,Хрупкий,Дождь,Весна,Вечер,Пятница,4,
OR14126,2019-03-01,949,13,7657,Обычный,Ясно,Весна,День,Пятница,0,11-20
DL72381,2019-03-01,1492,16,17326,Опасный,Ясно,Весна,Вечер,Пятница,1,11-20
OR48687,2019-03-01,495,14,12422,Опасный,Ясно,Весна,Утро,Пятница,0,11-20
DL69596,2019-03-02,1422,19,17066,Опасный,Дождь,Весна,День,Суббота,1,11-20
OD70432,2019-03-02,921,8,7881,Обычный,Туман,Весна,Утро,Суббота,0,6-10
OD17392,2019-03-02,1001,22,19267,Опасный,Ясно,Весна,Утро,Суббота,2,21-30
OR32820,2019-03-02,1289,21,23902,Опасный,Ясно,Весна,Ночь,Суббота,2,21-30
OD39615,2019-03-02,855,9,9563,Обычный,Туман,Весна,День,Суббота,0,6-10
OR82274,2019-03-02,541,,6831,Опасный,Туман,Весна,Ночь,Суббота,0,
OR25257,2019-03-02,423,14,11703,Опасный,Ясно,Весна,Ночь,Суббота,0,11-20
OD40648,2019-03-03,514,9,15397,Опасный,Снег,Весна,Утро,Воскресенье,0,6-10
DL76987,2019-03-03,2151,36,33656,Обычный,Дождь,Весна,Утро,Воскресенье,5,30+
OD33015,2019-03-03,696,11,12119,Опасный,Ясно,Весна,День,Воскресенье,0,11-20
OR52779,2019-03-03,1058,14,20748,Хрупкий,Туман,Весна,День,Воскресенье,1,11-20
OD31626,2019-03-03,2063,27,27611,Опасный,Ясно,Весна,День,Воскресенье,4,21-30
OD30252,2019-03-04,808,7,9053,Хрупкий,Снег,Весна,День,Понедельник,0,6-10
DL81769,2019-03-04,1170,13,19486,Опасный,,Весна,Вечер,Понедельник,1,11-20
OD46189,2019-03-04,741,14,18113,Обычный,Ясно,Весна,Ночь,Понедельник,1,11-20
DL25460,2019-03-05,743,13,14368,Замороженный,Дождь,Весна,День,Вторник,0,11-20
OD60592,2019-03-05,854,18,15332,Обычный,Дождь,Весна,Ночь,Вторник,2,11-20
OD94565,2019-03-06,408,7,8071,Обычный,Туман,Весна,Ночь,Среда,0,6-10
OR34840,2019-03-06,985,15,7337,Опасный,Ясно,Весна,Вечер,Среда,0,11-20
OD27944,2019-03-06,1580,26,28715,Хрупкий,Ясно,Весна,Утро,Среда,3,21-30
OR36710,2019-03-06,1125,28,18399,Замороженный,Дождь,Весна,Утро,Среда,3,21-30
DL10079,2019-03-07,1477,15,16400,Замороженный,Ясно,Весна,Вечер,Четверг,1,11-20
OD95190,2019-03-07,492,14,9457,Обычный,Ясно,Весна,День,Четверг,0,11-20
OD74195,2019-03-07,1607,18,12957,Опасный,Дождь,Весна,День,Четверг,1,11-20
DL33539,2019-03-08,850,16,8289,Хрупкий,Дождь,Весна,День,Пятница,0,11-20
OR79754,2019-03-08,740,14,14798,Хрупкий,Снег,Весна,День,Пятница,0,11-20
OD40269,2019-03-08,400,16,9037,Замороженный,Дождь,Весна,Ночь,Пятница,0,11-20
OD78512,2019-03-08,766,10,12594,Хрупкий,Ясно,Весна,Утро,Пятница,0,6-10
OR40145,2019-03-08,875,16,17779,Хрупкий,Дождь,Весна,Ночь,Пятница,2,11-20
OR12484,2019-03-09,658,15,6454,Обычный,Дождь,Весна,Вечер,Суббота,0,11-20
OR16575,2019-03-09,1641,30,32139,Хрупкий,Дождь,Весна,Ночь,Суббота,4,21-30
OD57974,2019-03-09,634,10,11583,Обычный,Дождь,Весна,Вечер,Суббота,0,6-10
OR61285,2019-03-09,605,12,7275,Обычный,Снег,Весна,Ночь,Суббота,0,11-20
DL53446,2019-03-09,630,13,11322,Опасный,Дождь,Весна,Утро,Суббота,0,11-20
DL57068,2019-03-09,690,11,11501,Опасный,,Весна,Ночь,Суббота,0,11-20
DL63129,2019-03-10,1256,8,7058,Обычный,Дождь,Весна,Ночь,Воскресенье,0,6-10
DL27983,2019-03-10,823,15,6283,Обычный,Дождь,Весна,День,Воскресенье,0,11-20
DL75818,2019-03-10,1082,25,19005,Опасный,Ясно,Весна,Вечер,Воскресенье,3,21-30
DL24598,2019-03-10,696,9,6683,Хрупкий,Ясно,Весна,Вечер,Воскресенье,0,6-10
OD83976,2019-03-10,966,15,6475,Хрупкий,Ясно,Весна,Вечер,Воскресенье,0,11-20
OD13680,2019-03-10,1335,21,21260,Опасный,Дождь,Весна,День,Воскресенье,2,21-30
DL66591,2019-03-11,560,8,12046,Опасный,Дождь,Весна,День,Понедельник,0,6-10
DL61224,2019-03-11,616,12,8170,Обычный,Ясно,Весна,Утро,Понедельник,0,11-20
DL15568,2019-03-11,1098,9,9612,Замороженный,Дождь,Весна,Утро,Понедельник,0,6-10
DL65035,2019-03-12,881,15,8446,Обычный,Дождь,Весна,Вечер,Вторник,0,11-20
DL31983,2019-03-12,648,9,7516,Замороженный,Ясно,Весна,Утро,Вторник,0,6-10
