ID ТС,Дата записи,Пробег (км),Возраст ТС (лет),Количество ТО за год,Загрузка (%),Средняя скорость (км/ч),Средняя нагрузка двигателя (%),Поломка в ближайший месяц
VEH96451,2019-01-29,1213806.0,18.0,7.0,96.1,20.0,81.0,0
VEH97277,2019-01-29,1160681.0,16.0,2.0,56.2,31.0,78.0,1
VEH18518,2019-01-29,775378.0,16.0,1.0,42.3,64.0,51.0,1
VEH08580,2019-01-30,18624.0,2.0,9.0,84.0,83.0,96.0,0
VEH58578,2019-01-31,306221.0,7.0,6.0,50.7,92.0,78.0,0
VEH79380,2019-01-31,1130463.0,18.0,3.0,33.5,83.0,,1
VEH41256,2019-01-31,22743.0,1.0,9.0,77.3,26.0,81.0,0
VEH04117,2019-02-02,698488.0,18.0,9.0,40.2,51.0,38.0,0
VEH49159,2019-02-02,369092.0,8.0,3.0,32.9,53.0,73.0,0
VEH19562,2019-02-04,697145.0,10.0,3.0,98.2,21.0,58.0,1
VEH09563,2019-02-04,116733.0,4.0,9.0,82.9,60.0,41.0,0
VEH49284,2019-02-04,603293.0,14.0,5.0,31.4,91.0,61.0,0
VEH23693,2019-02-04,9546.0,2.0,0.0,86.6,32.0,39.0,0
VEH66120,2019-02-04,757019.0,18.0,1.0,80.8,68.0,55.0,1
VEH51499,2019-02-05,207629.0,6.0,,77.0,23.0,86.0,0
VEH88953,2019-02-05,792801.0,11.0,1.0,42.2,52.0,89.0,0
VEH12396,2019-02-05,605747.0,11.0,4.0,65.9,85.0,75.0,0
VEH74417,2019-02-05,945453.0,17.0,4.0,42.1,69.0,65.0,1
VEH02843,2019-02-05,972646.0,20.0,8.0,64.9,41.0,39.0,1
VEH20288,2019-02-06,746982.0,17.0,4.0,81.7,34.0,96.0,0
VEH40718,2019-02-06,211318.0,3.0,2.0,38.9,60.0,93.0,0
VEH40836,2019-02-06,230890.0,3.0,9.0,37.0,23.0,64.0,0
VEH98309,2019-02-07,421902.0,,10.0,85.7,42.0,30.0,1
VEH80813,2019-02-07,343652.0,10.0,3.0,49.6,58.0,33.0,1
VEH93574,2019-02-07,107094.0,8.0,8.0,78.7,31.0,83.0,0
VEH47923,2019-02-08,18220.0,1.0,1.0,37.7,51.0,85.0,0
VEH93110,2019-02-08,149008.0,8.0,0.0,59.5,71.0,62.0,0
VEH62148,2019-02-08,138492.0,4.0,10.0,91.2,62.0,72.0,0
VEH15824,2019-02-08,167482.0,5.0,6.0,70.6,33.0,80.0,0
VEH45883,2019-02-08,289726.0,13.0,8.0,33.3,20.0,80.0,0
VEH00561,2019-02-08,22726.0,2.0,2.0,61.2,78.0,89.0,0
VEH82934,2019-02-09,480582.0,11.0,9.0,97.3,66.0,83.0,0
VEH52481,2019-02-09,288955.0,13.0,2.0,35.7,61.0,80.0,0
VEH24009,2019-02-09,551232.0,11.0,0.0,85.2,74.0,69.0,0
VEH47591,2019-02-09,271862.0,6.0,10.0,62.9,81.0,42.0,0
VEH51767,2019-02-09,225761.0,3.0,5.0,74.1,76.0,60.0,0
VEH93095,2019-02-10,634557.0,13.0,,74.3,36.0,79.0,0
VEH10457,2019-02-10,188027.0,7.0,2.0,89.7,50.0,77.0,0
VEH75132,2019-02-10,75760.0,5.0,6.0,48.5,92.0,82.0,0
VEH01656,2019-02-10,641450.0,10.0,6.0,89.9,67.0,50.0,0
VEH85463,2019-02-10,190297.0,7.0,4.0,86.0,46.0,70.0,0
VEH25845,2019-02-10,103008.0,3.0,6.0,89.1,31.0,53.0,0
VEH23896,2019-02-11,419234.0,15.0,3.0,63.7,53.0,70.0,0
VEH06038,2019-02-11,731205.0,14.0,5.0,34.9,61.0,103.0,0
VEH20676,2019-02-12,370095.0,7.0,3.0,80.1,59.0,89.0,0
VEH12921,2019-02-12,341922.0,6.0,6.0,57.5,45.0,37.0,1
VEH32486,2019-02-12,34027.0,2.0,4.0,32.5,60.0,78.0,0
VEH01826,2019-02-12,1210924.0,16.0,6.0,46.6,75.0,45.0,1
VEH42943,2019-02-12,775380.0,17.0,5.0,89.0,24.0,99.0,0
VEH90959,2019-02-12,3066.0,3.0,4.0,88.6,52.0,42.0,0
VEH79961,2019-02-12,412142.0,8.0,0.0,58.6,59.0,100.0,0
VEH99098,2019-02-12,377181.0,13.0,5.0,56.2,34.0,61.0,0
VEH34679,2019-02-13,737814.0,10.0,6.0,50.8,54.0,78.0,0
VEH41953,2019-02-14,1112890.0,16.0,1.0,91.0,18.0,,1
VEH12122,2019-02-14,796808.0,18.0,3.0,57.2,48.0,76.0,0
VEH91358,2019-02-14,443878.0,13.0,0.0,64.6,68.0,56.0,0
VEH62050,2019-02-14,1000371.0,17.0,9.0,63.7,71.0,92.0,1
VEH43257,2019-02-15,216932.0,6.0,5.0,63.8,92.0,84.0,0
VEH16247,2019-02-15,290852.0,10.0,9.0,59.1,79.0,52.0,0
VEH84386,2019-02-16,128855.0,3.0,4.0,33.1,43.0,40.0,0
VEH67341,2019-02-16,847631.0,13.0,5.0,36.1,36.0,67.0,1
VEH16995,2019-02-16,556602.0,9.0,9.0,72.6,71.0,66.0,0
VEH65179,2019-02-17,,13.0,10.0,75.1,28.0,71.0,0
VEH09137,2019-02-17,277830.0,5.0,8.0,52.0,47.0,38.0,0
VEH95399,2019-02-18,501062.0,12.0,8.0,36.7,22.0,85.0,0
VEH70159,2019-02-18,226859.0,9.0,4.0,54.6,28.0,,0
VEH68086,2019-02-18,1210077.0,18.0,9.0,69.4,61.0,43.0,1
VEH72859,2019-02-18,289448.0,14.0,7.0,42.0,24.0,72.0,0
VEH79191,2019-02-18,387674.0,6.0,8.0,87.9,74.0,101.0,0
VEH42300,2019-02-18,308761.0,5.0,9.0,71.1,41.0,95.0,0
VEH93245,2019-02-19,956781.0,16.0,10.0,39.0,25.0,89.0,0
VEH92153,2019-02-19,411511.0,10.0,1.0,31.3,24.0,92.0,0
VEH15888,2019-02-19,266931.0,7.0,9.0,58.8,28.0,44.0,0
VEH62235,2019-02-20,448860.0,6.0,2.0,61.3,45.0,54.0,0
VEH60657,2019-02-20,319643.0,7.0,7.0,88.7,37.0,83.0,0
VEH75258,2019-02-20,7484.0,2.0,8.0,72.6,54.0,92.0,0
VEH22764,2019-02-20,1071696.0,20.0,8.0,48.2,35.0,48.0,1
VEH78771,2019-02-21,482587.0,12.0,7.0,99.4,28.0,58.0,1
VEH18593,2019-02-22,26119.0,4.0,11.0,87.5,27.0,90.0,0
VEH83434,2019-02-22,106429.0,3.0,6.0,57.9,60.0,57.0,0
VEH51055,2019-02-23,968849.0,16.0,6.0,86.2,38.0,86.0,1
VEH34942,2019-02-23,176912.0,7.0,1.0,71.2,49.0,89.0,0
VEH29371,2019-02-24,383189.0,14.0,11.0,30.7,81.0,90.0,0
VEH57478,2019-02-24,989837.0,17.0,9.0,85.6,74.0,97.0,0
VEH66629,2019-02-24,821630.0,14.0,10.0,48.8,79.0,64.0,1
VEH07365,2019-02-24,1171202.0,16.0,6.0,92.2,29.0,75.0,1
VEH83485,2019-02-25,828873.0,17.0,7.0,49.0,54.0,70.0,0
VEH16896,2019-02-25,591549.0,15.0,6.0,93.8,59.0,88.0,0
VEH26289,2019-02-25,210712.0,7.0,9.0,42.8,71.0,65.0,0
VEH46106,2019-02-25,1152629.0,16.0,7.0,57.8,68.0,59.0,0
VEH34704,2019-02-26,129248.0,8.0,7.0,46.7,79.0,45.0,0
VEH64193,2019-02-26,258998.0,9.0,3.0,34.8,49.0,51.0,0
VEH86248,2019-02-26,366093.0,10.0,9.0,81.1,67.0,83.0,0
VEH22467,2019-02-27,261987.0,4.0,3.0,81.7,77.0,59.0,0
VEH09566,2019-02-27,127895.0,4.0,3.0,59.1,87.0,56.0,0
VEH93195,2019-02-27,356861.0,13.0,5.0,69.3,33.0,55.0,0
VEH21740,2019-02-28,767073.0,13.0,0.0,58.6,66.0,40.0,0
VEH98731,2019-02-28,423515.0,13.0,6.0,57.0,105.0,102.0,0
VEH54193,2019-03-01,956850.0,18.0,0.0,60.0,80.0,70.0,1
VEH54181,2019-03-01,1011372.0,18.0,6.0,31.3,58.0,50.0,0
VEH36840,2019-03-01,569367.0,11.0,4.0,51.9,80.0,88.0,0
VEH53814,2019-03-02,695395.0,13.0,8.0,48.4,80.0,76.0,0
VEH75839,2019-03-02,762541.0,17.0,8.0,69.7,55.0,65.0,0
VEH24409,2019-03-02,719706.0,15.0,3.0,73.1,74.0,60.0,0
VEH02170,2019-03-02,751087.0,15.0,0.0,59.1,53.0,25.0,0
VEH51911,2019-03-02,458204.0,12.0,2.0,51.4,74.0,49.0,0
VEH00177,2019-03-02,137900.0,4.0,9.0,77.1,31.0,88.0,0
VEH61714,2019-03-03,312144.0,12.0,9.0,90.9,27.0,75.0,0
VEH51572,2019-03-03,13930.0,0.0,1.0,63.6,52.0,87.0,0
VEH88228,2019-03-03,326812.0,4.0,6.0,36.4,23.0,102.0,0
VEH37501,2019-03-03,128949.0,8.0,6.0,46.8,74.0,,0
VEH60548,2019-03-04,1000425.0,14.0,5.0,43.9,34.0,36.0,1
VEH71174,2019-03-04,598797.0,12.0,4.0,99.4,55.0,52.0,1
VEH10390,2019-03-04,348826.0,13.0,4.0,53.1,22.0,38.0,0
VEH08004,2019-03-05,783341.0,15.0,0.0,54.6,67.0,62.0,0
VEH05223,2019-03-05,29793.0,1.0,5.0,69.7,75.0,36.0,0
VEH11573,2019-03-06,15107.0,2.0,10.0,84.0,53.0,88.0,0
VEH99114,2019-03-06,31070.0,0.0,3.0,91.2,73.0,105.0,1
VEH19656,2019-03-06,9316.0,0.0,9.0,92.9,64.0,58.0,0
VEH30711,2019-03-06,48451.0,4.0,8.0,78.2,91.0,75.0,0
VEH55231,2019-03-07,776752.0,18.0,3.0,47.4,40.0,43.0,1
VEH07775,2019-03-07,382856.0,8.0,5.0,98.3,71.0,61.0,0
VEH64234,2019-03-08,1148278.0,19.0,1.0,52.7,27.0,64.0,1
VEH35604,2019-03-08,43148.0,5.0,4.0,93.6,27.0,36.0,0
VEH16923,2019-03-08,18491.0,0.0,4.0,53.0,70.0,73.0,0
VEH04611,2019-03-08,377155.0,12.0,6.0,76.7,22.0,65.0,0
VEH48762,2019-03-09,352480.0,6.0,1.0,86.2,68.0,49.0,0
VEH87145,2019-03-09,1022370.0,20.0,3.0,52.9,33.0,,1
VEH63403,2019-03-09,330921.0,9.0,11.0,93.1,23.0,42.0,0
VEH92995,2019-03-09,104978.0,3.0,8.0,87.1,26.0,89.0,0
VEH66259,2019-03-09,549330.0,11.0,8.0,39.4,85.0,80.0,0
VEH00361,2019-03-09,185648.0,11.0,1.0,45.8,19.0,80.0,0
VEH54013,2019-03-10,614643.0,10.0,0.0,85.8,27.0,95.0,0
VEH53970,2019-03-10,679330.0,15.0,1.0,60.6,74.0,38.0,0
VEH42770,2019-03-10,510541.0,11.0,10.0,88.5,83.0,83.0,0
VEH29211,2019-03-10,848072.0,14.0,2.0,46.8,29.0,74.0,0
VEH97224,2019-03-10,821774.0,16.0,11.0,99.5,75.0,70.0,0
VEH07946,2019-03-11,894679.0,17.0,8.0,35.5,31.0,33.0,1
VEH42643,2019-03-12,853996.0,18.0,4.0,42.9,44.0,57.0,1
VEH41851,2019-03-12,390121.0,7.0,1.0,79.3,62.0,83.0,0
VEH20026,2019-03-13,293869.0,14.0,3.0,42.4,48.0,35.0,1
VEH27754,2019-03-13,1020030.0,18.0,9.0,41.9,42.0,74.0,0
VEH07091,2019-03-13,408383.0,10.0,0.0,41.5,33.0,34.0,0
VEH05273,2019-03-13,248549.0,10.0,2.0,36.9,51.0,77.0,0
VEH58248,2019-03-13,623355.0,11.0,4.0,64.3,59.0,91.0,0
VEH67440,2019-03-14,973787.0,19.0,4.0,66.9,85.0,94.0,0
VEH15120,2019-03-14,900655.0,16.0,3.0,30.7,54.0,80.0,1
VEH70347,2019-03-14,537461.0,13.0,7.0,63.3,80.0,61.0,0
VEH59257,2019-03-14,331772.0,7.0,7.0,62.8,46.0,49.0,0
VEH59800,2019-03-14,565070.0,15.0,7.0,52.7,64.0,33.0,1
VEH90651,2019-03-15,34494.0,2.0,4.0,69.4,68.0,99.0,0
VEH71679,2019-03-16,253724.0,7.0,4.0,83.7,82.0,86.0,0
VEH76488,2019-03-16,339734.0,11.0,7.0,34.5,69.0,81.0,0
VEH88402,2019-03-16,362069.0,11.0,6.0,52.2,86.0,92.0,0
VEH96213,2019-03-16,940797.0,17.0,5.0,88.3,77.0,56.0,1
VEH68891,2019-03-16,268881.0,14.0,4.0,54.1,92.0,78.0,0
VEH71226,2019-03-17,364199.0,7.0,1.0,96.9,84.0,52.0,0
VEH56301,2019-03-17,222603.0,10.0,1.0,63.1,70.0,88.0,0
VEH77112,2019-03-17,248715.0,5.0,3.0,84.8,37.0,74.0,0
VEH17375,2019-03-17,273913.0,15.0,4.0,59.4,33.0,55.0,0
VEH71813,2019-03-17,895840.0,16.0,9.0,76.8,21.0,74.0,1
VEH47188,2019-03-18,3025.0,3.0,3.0,71.1,35.0,111.0,0
VEH24852,2019-03-18,368086.0,11.0,2.0,46.9,42.0,90.0,0
VEH60646,2019-03-18,1174776.0,17.0,2.0,93.8,85.0,41.0,0
VEH49213,2019-03-19,5237.0,1.0,8.0,44.3,70.0,69.0,0
VEH46455,2019-03-19,288850.0,4.0,10.0,96.7,26.0,56.0,1
VEH77823,2019-03-19,647751.0,15.0,1.0,97.5,27.0,32.0,0
VEH03402,2019-03-20,819655.0,18.0,4.0,66.6,83.0,48.0,1
VEH82795,2019-03-20,595123.0,14.0,5.0,64.3,24.0,78.0,0
VEH98625,2019-03-20,38527.0,1.0,4.0,95.9,83.0,49.0,1
VEH28686,2019-03-21,492020.0,15.0,1.0,59.9,29.0,32.0,1
VEH00683,2019-03-21,795928.0,12.0,8.0,94.9,69.0,98.0,0
VEH56207,2019-03-23,905777.0,20.0,11.0,38.1,42.0,118.0,1
VEH35522,2019-03-23,188510.0,4.0,8.0,90.0,21.0,32.0,0
VEH52027,2019-03-23,19026.0,2.0,3.0,63.8,36.0,47.0,0
VEH36930,2019-03-23,459649.0,13.0,8.0,76.3,30.0,84.0,0
VEH64392,2019-03-24,1103911.0,19.0,3.0,67.1,48.0,66.0,1
VEH49184,2019-03-24,810313.0,12.0,8.0,58.5,62.0,40.0,1
VEH81286,2019-03-24,208734.0,9.0,10.0,50.0,72.0,81.0,0
VEH21944,2019-03-24,382173.0,9.0,10.0,90.2,54.0,61.0,0
VEH77494,2019-03-24,769710.0,19.0,1.0,86.2,86.0,29.0,1
VEH06097,2019-03-24,344478.0,6.0,10.0,34.6,32.0,115.0,0
VEH00818,2019-03-25,16926.0,2.0,2.0,55.0,42.0,47.0,0
VEH74659,2019-03-25,835474.0,17.0,1.0,77.9,82.0,62.0,1
VEH62752,2019-03-25,327399.0,13.0,8.0,64.1,51.0,40.0,0
VEH47908,2019-03-26,813045.0,15.0,4.0,43.9,45.0,93.0,1
VEH57297,2019-03-26,268330.0,9.0,4.0,53.0,67.0,48.0,0
VEH87164,2019-03-26,309857.0,14.0,1.0,37.4,23.0,86.0,0
VEH36111,2019-03-27,140326.0,8.0,10.0,84.3,70.0,91.0,0
VEH97085,2019-03-27,201795.0,6.0,6.0,72.1,60.0,29.0,0
VEH78797,2019-03-27,406749.0,7.0,9.0,34.6,49.0,41.0,0
VEH38230,2019-03-28,192682.0,8.0,2.0,87.6,89.0,60.0,0
VEH58625,2019-03-28,253539.0,5.0,4.0,35.6,56.0,39.0,0
VEH90101,2019-03-28,802060.0,18.0,4.0,70.0,83.0,69.0,0
VEH55794,2019-03-28,737887.0,14.0,4.0,83.1,52.0,71.0,0
VEH42873,2019-03-29,240763.0,8.0,8.0,99.0,63.0,80.0,1
VEH39188,2019-03-29,782089.0,14.0,1.0,54.2,44.0,59.0,0
VEH46077,2019-03-29,584261.0,13.0,5.0,68.0,91.0,92.0,0
VEH16695,2019-03-31,15303.0,0.0,1.0,96.3,50.0,103.0,0
VEH34223,2019-03-31,945684.0,18.0,10.0,56.5,50.0,67.0,1
VEH32159,2019-03-31,228803.0,8.0,8.0,94.9,63.0,51.0,0
VEH74141,2019-03-31,239257.0,5.0,6.0,83.8,94.0,68.0,0
VEH45434,2019-03-31,311293.0,14.0,4.0,92.8,52.0,89.0,0
VEH33030,2019-03-31,821379.0,18.0,6.0,98.2,17.0,85.0,0
VEH44615,2019-03-31,912021.0,15.0,1.0,31.8,30.0,35.0,0
VEH11824,2019-04-01,447378.0,13.0,5.0,68.2,27.0,43.0,0
VEH33464,2019-04-01,75268.0,3.0,2.0,57.9,54.0,109.0,0
VEH07439,2019-04-02,968517.0,15.0,4.0,91.7,44.0,79.0,0
VEH99653,2019-04-02,384633.0,12.0,7.0,72.4,61.0,31.0,1
VEH52984,2019-04-02,10938.0,2.0,5.0,30.8,45.0,32.0,1
VEH09647,2019-04-02,44078.0,3.0,6.0,54.5,63.0,83.0,0
VEH93237,2019-04-02,37185.0,0.0,10.0,82.4,92.0,93.0,0
VEH05905,2019-04-03,704695.0,14.0,5.0,45.0,53.0,64.0,0
VEH94359,2019-04-03,881274.0,16.0,5.0,89.3,23.0,39.0,0
VEH00013,2019-04-03,471521.0,15.0,9.0,93.0,68.0,72.0,0
VEH72250,2019-04-04,19570.0,1.0,3.0,88.3,59.0,73.0,0
VEH29483,2019-04-05,97269.0,4.0,4.0,76.0,52.0,41.0,0
VEH27652,2019-04-05,827299.0,15.0,1.0,49.7,56.0,48.0,1
VEH76897,2019-04-06,928781.0,20.0,10.0,59.8,41.0,41.0,0
VEH63509,2019-04-08,173829.0,5.0,4.0,32.2,61.0,77.0,0
VEH04749,2019-04-08,810396.0,17.0,7.0,95.2,67.0,93.0,1
VEH29874,2019-04-09,99815.0,3.0,8.0,55.3,37.0,51.0,0
VEH52526,2019-04-09,876969.0,20.0,2.0,59.2,80.0,46.0,1
VEH20669,2019-04-09,432466.0,9.0,9.0,71.3,24.0,26.0,1
VEH68225,2019-04-10,333980.0,13.0,6.0,67.7,24.0,90.0,0
VEH97779,2019-04-10,273813.0,7.0,8.0,79.3,40.0,38.0,1
VEH33686,2019-04-11,283987.0,12.0,3.0,84.0,43.0,79.0,0
VEH79349,2019-04-11,1100120.0,16.0,2.0,61.7,21.0,32.0,1
VEH79067,2019-04-11,149498.0,8.0,6.0,38.0,48.0,40.0,0
VEH29344,2019-04-11,824202.0,16.0,4.0,52.6,26.0,69.0,0
VEH51614,2019-04-11,402822.0,9.0,4.0,41.0,59.0,68.0,0
VEH05833,2019-04-11,1083600.0,18.0,10.0,82.7,34.0,63.0,1
VEH52627,2019-04-12,104268.0,4.0,6.0,40.9,72.0,74.0,0
VEH94324,2019-04-12,244786.0,11.0,5.0,50.6,30.0,79.0,0
VEH67489,2019-04-13,824726.0,17.0,6.0,62.2,42.0,85.0,0
VEH65788,2019-04-13,297438.0,10.0,3.0,57.0,60.0,85.0,0
VEH04797,2019-04-13,286753.0,7.0,9.0,34.3,64.0,28.0,1
VEH25621,2019-04-14,623606.0,13.0,0.0,50.5,65.0,86.0,0
VEH39940,2019-04-14,475761.0,15.0,7.0,50.9,67.0,29.0,1
VEH30180,2019-04-14,799859.0,20.0,2.0,65.8,75.0,74.0,1
VEH94829,2019-04-14,25082.0,1.0,2.0,66.8,50.0,37.0,1
VEH98965,2019-04-15,991614.0,18.0,5.0,59.4,71.0,34.0,1
VEH97230,2019-04-15,546123.0,14.0,1.0,46.7,78.0,92.0,0
VEH89572,2019-04-15,863498.0,14.0,0.0,44.1,57.0,94.0,0
VEH53405,2019-04-15,768278.0,13.0,10.0,80.1,33.0,38.0,1
VEH01650,2019-04-15,38209.0,2.0,7.0,85.5,77.0,35.0,1
VEH58124,2019-04-15,456643.0,8.0,5.0,95.3,91.0,91.0,1
VEH17732,2019-04-15,450458.0,12.0,10.0,58.0,29.0,54.0,0
VEH41176,2019-04-15,268649.0,10.0,11.0,89.4,42.0,66.0,0
VEH10604,2019-04-15,433692.0,12.0,5.0,41.1,41.0,30.0,0
VEH71394,2019-04-16,671599.0,15.0,8.0,67.2,73.0,71.0,0
VEH92039,2019-04-16,32280.0,2.0,3.0,43.7,20.0,79.0,0
VEH29749,2019-04-16,94156.0,9.0,3.0,88.1,31.0,108.0,0
VEH70128,2019-04-16,608317.0,13.0,1.0,90.3,68.0,79.0,0
