ID маршрута,Дата отправки,Расстояние (км),Средняя скорость (км/ч),Загруженность дорог,Погодные условия,Тип транспорта,Вес груза (кг),Время суток,День недели,Фактическое время в пути (часы)
RTE87825,2019-01-10,574,83,Средняя,Ясно,Грузовик,19968.0,Ночь,Четверг,7
MR77905,2019-01-10,1115,76,Средняя,Ясно,Грузовик,,День,Четверг,15
MR62558,2019-01-10,529,70,Средняя,Ясно,Фургон,25390.0,Ночь,Четверг,9
RT18381,2019-01-10,610,65,Малая,Ясно,Прицеп,1862.0,День,Четверг,10
MR50977,2019-01-10,932,57,Средняя,Ясно,Прицеп,7699.0,Вечер,Четверг,14
MR36754,2019-01-10,669,55,Малая,Ясно,Фургон,27749.0,Ночь,Четверг,12
RT29704,2019-01-11,1068,82,Средняя,Ясно,Фургон,1081.0,Ночь,Пятница,16
RT79042,2019-01-11,1382,64,Средняя,Ясно,,963.0,Вечер,Пятница,17
MR28079,2019-01-11,1335,88,Средняя,Ясно,Грузовик,10348.0,Ночь,Пятница,14
RT54508,2019-01-11,1887,69,Средняя,Ясно,Прицеп,10623.0,Ночь,Пятница,27
RT34590,2019-01-11,1294,84,Малая,Ясно,Фургон,29037.0,Ночь,Пятница,15
MR71816,2019-01-12,410,62,Средняя,Снег,Прицеп,1877.0,Ночь,Суббота,8
RT13858,2019-01-12,276,54,Средняя,Снег,Фургон,19842.0,Утро,Суббота,5
RT48179,2019-01-12,1702,61,Средняя,,Фургон,7757.0,Ночь,Суббота,30
MR32140,2019-01-12,799,65,Средняя,Снег,Грузовик,21291.0,День,Суббота,13
RTE93141,2019-01-12,1401,41,,Снег,Фургон,8177.0,Вечер,Суббота,30
RTE77314,2019-01-12,729,62,Средняя,Снег,Прицеп,25075.0,Утро,Суббота,12
RT89556,2019-01-12,285,67,Средняя,Снег,Прицеп,2820.0,Ночь,Суббота,5
MR47374,2019-01-12,639,53,Средняя,Снег,Грузовик,19253.0,Вечер,Суббота,11
MR54647,2019-01-12,1655,55,Средняя,Снег,Фургон,16352.0,Утро,Суббота,30
MR84310,2019-01-12,820,52,Средняя,Снег,Грузовик,1365.0,Ночь,Суббота,15
RT94451,2019-01-13,139,73,Малая,Ясно,Фургон,24906.0,День,Воскресенье,2
RT18423,2019-01-13,1436,78,Малая,Ясно,Прицеп,483.0,Утро,Воскресенье,22
MR41921,2019-01-13,1548,63,Малая,Ясно,Грузовик,19823.0,Вечер,Воскресенье,24
RT17917,2019-01-13,55,70,Средняя,Ясно,Фургон,21180.0,Утро,Воскресенье,1
RTE64494,2019-01-13,1985,103,Малая,Ясно,Прицеп,14221.0,День,Воскресенье,24
MR25938,2019-01-13,535,93,Малая,Ясно,Фургон,8671.0,Вечер,Воскресенье,7
RT82387,2019-01-13,137,73,Малая,Ясно,Прицеп,4398.0,Ночь,Воскресенье,2
RT37334,2019-01-14,1243,44,Высокая,Ясно,Фургон,27661.0,Вечер,Понедельник,29
MR26774,2019-01-14,350,80,Средняя,Ясно,Фургон,25899.0,День,Понедельник,5
RT30517,2019-01-14,755,84,Средняя,Ясно,Прицеп,5051.0,День,Понедельник,11
MR83694,2019-01-14,2045,56,Малая,Ясно,Фургон,28130.0,Ночь,Понедельник,29
RTE75653,2019-01-14,333,71,Малая,Ясно,Прицеп,25835.0,Ночь,Понедельник,4
MR43392,2019-01-15,280,48,Высокая,Снег,Фургон,3120.0,Утро,Вторник,7
MR43239,2019-01-16,30,71,Средняя,Снег,Прицеп,5276.0,День,Среда,1
RT86794,2019-01-16,1300,78,Средняя,Снег,Грузовик,13087.0,Утро,Среда,18
MR58562,2019-01-16,876,49,Высокая,Снег,Рефрижератор,22632.0,Вечер,Среда,22
RT74502,2019-01-16,1320,50,Высокая,Снег,Фургон,12460.0,Утро,Среда,31
RTE15625,2019-01-16,2141,51,Средняя,Снег,Прицеп,7788.0,Вечер,Среда,27
RTE85741,2019-01-16,1278,35,Высокая,Снег,Грузовик,23046.0,Вечер,Среда,29
MR30329,2019-01-16,1919,76,Средняя,Снег,Прицеп,21124.0,Утро,Среда,27
RT87777,2019-01-17,1461,51,Высокая,Ясно,Прицеп,7906.0,Утро,Четверг,30
RT21740,2019-01-17,300,81,Средняя,Ясно,Грузовик,13802.0,Утро,Четверг,4
MR98423,2019-01-17,1178,69,Малая,Ясно,Фургон,5858.0,День,Четверг,16
MR66073,2019-01-17,1089,55,Малая,Ясно,Фургон,12010.0,Ночь,Четверг,17
MR33976,2019-01-17,208,57,Малая,Ясно,Прицеп,12737.0,Ночь,Четверг,3
MR39289,2019-01-18,594,62,Средняя,Снег,Прицеп,13444.0,Вечер,Пятница,10
RTE98302,2019-01-18,1633,63,Средняя,Снег,Фургон,11297.0,День,Пятница,26
MR96674,2019-01-19,2015,68,Средняя,Туман,Грузовик,9136.0,Ночь,Суббота,30
MR64354,2019-01-19,1203,67,Малая,Туман,Грузовик,28282.0,День,Суббота,18
MR19212,2019-01-19,292,61,Средняя,Туман,Грузовик,12423.0,День,Суббота,7
RT38059,2019-01-19,932,66,Средняя,Туман,Грузовик,3579.0,Утро,Суббота,20
RTE33340,2019-01-19,406,60,Малая,Туман,Прицеп,18629.0,Утро,Суббота,7
RT49740,2019-01-19,1374,68,Малая,Туман,Грузовик,8022.0,Ночь,Суббота,21
MR22935,2019-01-19,180,58,Малая,Туман,Грузовик,19096.0,Вечер,Суббота,3
RTE44086,2019-01-19,2092,49,Малая,Туман,Грузовик,14587.0,Ночь,Суббота,40
RTE92678,2019-01-19,47,72,Средняя,Туман,Фургон,11920.0,Утро,Суббота,1
MR81918,2019-01-19,1097,67,Средняя,Туман,Прицеп,17693.0,Ночь,Суббота,20
MR17451,2019-01-19,1699,80,Малая,Туман,Фургон,4027.0,Утро,Суббота,21
RT70798,2019-01-19,737,69,Малая,Туман,Фургон,7034.0,Вечер,Суббота,13
RTE62021,2019-01-19,1995,64,Средняя,Туман,Прицеп,18847.0,Ночь,Суббота,30
MR93173,2019-01-19,1018,67,Средняя,Туман,Грузовик,15024.0,Ночь,Суббота,14
RTE75011,2019-01-19,2236,45,Малая,Туман,Грузовик,12772.0,Ночь,Суббота,35
RT20660,2019-01-20,1683,63,Малая,Ясно,Прицеп,26641.0,День,Воскресенье,25
RT22876,2019-01-21,1572,39,Высокая,,Прицеп,3323.0,Вечер,Понедельник,34
RT36208,2019-01-21,347,45,Высокая,Туман,Фургон,21589.0,Вечер,Понедельник,7
RT34324,2019-01-21,1206,34,Высокая,Туман,Грузовик,29267.0,Вечер,Понедельник,38
RTE26988,2019-01-21,599,42,Малая,Туман,Фургон,10147.0,Ночь,Понедельник,15
MR81934,2019-01-21,820,48,Средняя,Туман,Грузовик,5542.0,День,Понедельник,15
MR51755,2019-01-22,1592,54,Средняя,,Прицеп,26930.0,День,Вторник,28
RT87784,2019-01-22,1387,48,Высокая,Снег,Фургон,9976.0,Утро,Вторник,33
MR82239,2019-01-22,648,51,Средняя,Снег,Прицеп,18570.0,День,Вторник,13
MR66748,2019-01-22,1148,53,Средняя,Снег,Фургон,28648.0,День,Вторник,20
MR60768,2019-01-22,1413,64,Средняя,Снег,Прицеп,15508.0,Ночь,Вторник,29
RTE45868,2019-01-22,1136,45,Средняя,Снег,Грузовик,9235.0,Ночь,Вторник,19
RT97398,2019-01-22,895,35,Высокая,,Прицеп,24310.0,Утро,Вторник,25
RT85263,2019-01-23,2044,74,Малая,Ясно,Прицеп,9696.0,Ночь,Среда,27
RTE60895,2019-01-23,1980,57,Высокая,Ясно,Прицеп,21648.0,Утро,Среда,35
RT35341,2019-01-23,504,90,Средняя,Ясно,Фургон,10166.0,День,Среда,6
RTE11703,2019-01-23,672,41,Высокая,Ясно,Грузовик,23525.0,Вечер,Среда,13
MR97182,2019-01-23,2071,89,Средняя,Ясно,Прицеп,20262.0,Ночь,Среда,20
RTE60226,2019-01-23,900,53,Высокая,Ясно,Рефрижератор,3086.0,Вечер,Среда,17
RT78310,2019-01-24,2017,61,Средняя,Ясно,Грузовик,24039.0,Утро,Четверг,25
MR63528,2019-01-24,1676,47,Высокая,Ясно,Фургон,22879.0,Вечер,Четверг,34
RTE80407,2019-01-24,1308,96,Средняя,Ясно,Грузовик,11834.0,Ночь,Четверг,14
MR96393,2019-01-25,811,56,Средняя,Шторм,Грузовик,21746.0,День,Пятница,16
RTE22112,2019-01-25,330,56,Средняя,Шторм,Фургон,944.0,Утро,Пятница,6
RT22398,2019-01-25,1648,68,Средняя,Шторм,Грузовик,25050.0,Ночь,Пятница,24
MR94213,2019-01-25,1420,72,Средняя,Шторм,Фургон,8793.0,День,Пятница,22
MR27799,2019-01-25,135,46,Средняя,Шторм,Прицеп,1788.0,Вечер,Пятница,3
MR26351,2019-01-25,833,48,Высокая,Шторм,Прицеп,,Утро,Пятница,20
RTE26330,2019-01-25,166,68,Средняя,Шторм,Фургон,4489.0,Утро,Пятница,3
MR97448,2019-01-25,1687,68,Средняя,Шторм,Прицеп,3787.0,Утро,Пятница,24
RTE16429,2019-01-25,1314,52,Средняя,Шторм,Фургон,8431.0,Утро,Пятница,25
MR51208,2019-01-26,1672,53,Малая,Ясно,Грузовик,20776.0,Ночь,Суббота,27
RTE25637,2019-01-26,1458,66,Малая,Ясно,Фургон,10676.0,День,Суббота,22
RTE93823,2019-01-26,1207,52,Малая,Ясно,Фургон,2151.0,Утро,Суббота,17
RTE47776,2019-01-26,1878,58,Малая,Ясно,Прицеп,30078.0,Ночь,Суббота,28
MR87473,2019-01-26,699,94,Средняя,,Грузовик,25750.0,Утро,Суббота,6
MR58659,2019-01-27,444,67,Малая,Ясно,Прицеп,27472.0,Утро,Воскресенье,8
RT17239,2019-01-27,406,89,Малая,Ясно,Фургон,9554.0,День,Воскресенье,6
RTE41440,2019-01-27,317,76,Малая,Ясно,Грузовик,7247.0,День,Воскресенье,5
RTE33058,2019-01-27,532,83,Малая,Ясно,Фургон,28559.0,День,Воскресенье,7
RT55416,2019-01-27,618,70,Средняя,Ясно,Прицеп,19654.0,День,Воскресенье,10
RTE80791,2019-01-28,813,49,Малая,Ясно,Грузовик,11435.0,День,Понедельник,9
RT49266,2019-01-28,162,59,Малая,Ясно,Прицеп,7634.0,День,Понедельник,2
RTE26032,2019-01-28,941,116,Средняя,Ясно,Грузовик,27993.0,День,Понедельник,12
MR64783,2019-01-28,1273,101,Малая,,Грузовик,22750.0,День,Понедельник,13
MR33253,2019-01-28,174,50,Высокая,Ясно,Прицеп,3946.0,Вечер,Понедельник,4
MR40157,2019-01-29,1109,35,Высокая,Туман,Прицеп,11576.0,Утро,Вторник,27
RTE32410,2019-01-29,995,50,Малая,Туман,Фургон,23116.0,День,Вторник,19
RT28511,2019-01-29,516,63,Малая,Туман,Грузовик,4265.0,Ночь,Вторник,9
RTE68811,2019-01-29,1376,78,Малая,Туман,Грузовик,27097.0,День,Вторник,20
RT98592,2019-01-29,1144,61,Малая,Туман,Грузовик,8966.0,День,Вторник,28
RT86697,2019-01-29,1194,62,Высокая,Туман,Прицеп,9154.0,Утро,Вторник,26
RT29691,2019-01-29,1177,75,Малая,Туман,Фургон,28141.0,День,Вторник,15
MR37655,2019-01-29,2007,46,Высокая,Туман,Фургон,27301.0,Вечер,Вторник,40
MR38228,2019-01-30,466,69,Средняя,Снег,Грузовик,12917.0,Ночь,Среда,9
MR52809,2019-01-30,1620,48,Высокая,Снег,Грузовик,26706.0,Утро,Среда,32
MR36096,2019-01-30,112,65,Средняя,Снег,Грузовик,4614.0,Вечер,Среда,2
RT43232,2019-01-31,1707,60,Малая,Туман,Фургон,9031.0,День,Четверг,30
RT47705,2019-01-31,1635,45,Высокая,Туман,Фургон,6932.0,Утро,Четверг,40
RT87544,2019-01-31,596,70,Малая,Туман,Грузовик,16685.0,Ночь,Четверг,10
RT49727,2019-01-31,1818,46,Средняя,Туман,Грузовик,17413.0,Ночь,Четверг,31
RTE73151,2019-01-31,861,59,Малая,Туман,Прицеп,25448.0,День,Четверг,15
MR14266,2019-02-01,96,42,Средняя,Снег,Фургон,764.0,Утро,Пятница,3
MR39394,2019-02-01,2017,60,Средняя,Снег,Грузовик,6005.0,День,Пятница,35
MR41878,2019-02-02,720,55,Средняя,Снег,Грузовик,23194.0,Ночь,Суббота,13
MR33576,2019-02-02,871,71,Средняя,Снег,Фургон,17551.0,Вечер,Суббота,14
RTE52273,2019-02-03,582,55,Средняя,Шторм,,27884.0,Утро,Воскресенье,14
RT76650,2019-02-03,395,63,Средняя,Шторм,Прицеп,,Утро,Воскресенье,7
RTE12838,2019-02-04,925,53,Высокая,Ясно,Фургон,16942.0,Утро,Понедельник,14
MR56498,2019-02-04,138,85,Средняя,Ясно,Грузовик,1040.0,Вечер,Понедельник,3
RT67508,2019-02-04,1684,51,Высокая,Ясно,Прицеп,22628.0,Утро,Понедельник,31
RTE16700,2019-02-04,227,70,Средняя,Ясно,Фургон,17734.0,Вечер,Понедельник,3
MR72839,2019-02-04,1187,69,Средняя,Ясно,Фургон,11004.0,Утро,Понедельник,13
RTE77378,2019-02-04,146,40,Высокая,Ясно,Грузовик,5130.0,Вечер,Понедельник,6
MR76316,2019-02-04,85,59,Высокая,Ясно,Прицеп,29134.0,Вечер,Понедельник,2
MR54193,2019-02-05,1261,58,Средняя,Снег,Грузовик,29569.0,Утро,Вторник,25
RTE65723,2019-02-05,442,47,Высокая,Снег,Грузовик,4576.0,Утро,Вторник,10
RT92856,2019-02-05,1996,54,Средняя,Снег,Прицеп,14924.0,День,Вторник,29
MR17066,2019-02-05,1562,69,Средняя,Снег,Фургон,28446.0,Ночь,Вторник,22
RTE17407,2019-02-05,1171,49,Высокая,Снег,Грузовик,12192.0,Утро,Вторник,28
RTE58658,2019-02-05,807,53,Средняя,Снег,Прицеп,8988.0,День,Вторник,15
RT90348,2019-02-05,1246,52,Средняя,Снег,Грузовик,24515.0,Вечер,Вторник,18
MR29994,2019-02-06,181,41,Высокая,,Прицеп,,Вечер,Среда,5
MR78033,2019-02-06,1657,45,Малая,Туман,Фургон,6816.0,Ночь,Среда,29
RT67637,2019-02-06,1254,58,Средняя,Туман,Грузовик,23375.0,Вечер,Среда,26
RT14241,2019-02-06,232,74,Малая,Туман,Грузовик,12394.0,День,Среда,3
RT19236,2019-02-07,1106,41,Средняя,Снег,Фургон,22578.0,Вечер,Четверг,16
RTE17008,2019-02-07,373,63,Средняя,Снег,Прицеп,11888.0,Утро,Четверг,6
MR62237,2019-02-07,1852,43,Высокая,Снег,Фургон,27464.0,Вечер,Четверг,49
MR39778,2019-02-07,523,69,Средняя,Снег,Фургон,22256.0,Ночь,Четверг,9
RTE41930,2019-02-07,1065,78,Средняя,Снег,Фургон,21759.0,День,Четверг,16
MR65534,2019-02-08,630,58,Средняя,Туман,Фургон,11686.0,Утро,Пятница,10
MR99730,2019-02-08,1397,60,Средняя,Туман,Прицеп,13466.0,Ночь,Пятница,25
RT10166,2019-02-08,59,68,Малая,Туман,Грузовик,20741.0,Ночь,Пятница,1
RTE33964,2019-02-08,1423,51,Средняя,Туман,Прицеп,10740.0,Утро,Пятница,30
RT39593,2019-02-08,1591,37,Высокая,Туман,Грузовик,9386.0,Утро,Пятница,47
RTE99889,2019-02-08,60,69,Малая,Туман,Грузовик,20855.0,День,Пятница,2
RTE80865,2019-02-09,27,53,Средняя,Снег,Грузовик,16154.0,День,Суббота,1
RTE66910,2019-02-09,1434,51,Средняя,Снег,Грузовик,12097.0,Утро,Суббота,28
RT51708,2019-02-09,212,62,Средняя,Снег,Грузовик,4770.0,Вечер,Суббота,3
RT20047,2019-02-09,1878,57,Средняя,Снег,Прицеп,29535.0,Утро,Суббота,31
RT30697,2019-02-09,646,47,Средняя,Снег,Грузовик,19755.0,Утро,Суббота,14
MR26630,2019-02-09,181,62,Средняя,Снег,Фургон,3847.0,Ночь,Суббота,3
RTE59409,2019-02-09,1011,84,Средняя,Снег,Прицеп,29095.0,День,Суббота,12
MR84235,2019-02-09,1818,45,Средняя,Снег,Прицеп,7999.0,Ночь,Суббота,34
RT24929,2019-02-10,1769,50,Средняя,Снег,Прицеп,12993.0,Утро,Воскресенье,33
MR86240,2019-02-10,1377,84,Средняя,Снег,Прицеп,15696.0,Утро,Воскресенье,19
RTE31821,2019-02-10,1969,56,Средняя,Снег,Прицеп,24258.0,Ночь,Воскресенье,41
MR58852,2019-02-10,806,44,Средняя,Снег,Фургон,24087.0,Утро,Воскресенье,21
RTE52767,2019-02-10,1495,60,Средняя,Снег,Фургон,17090.0,Утро,Воскресенье,27
RT34287,2019-02-10,1871,55,Средняя,,Фургон,,Утро,Воскресенье,28
RT51759,2019-02-10,1579,56,Средняя,Снег,Фургон,5349.0,Вечер,Воскресенье,34
MR40215,2019-02-10,1307,56,Малая,,Грузовик,6243.0,Ночь,Воскресенье,29
RT30715,2019-02-11,1200,59,Малая,Ясно,Фургон,6269.0,День,Понедельник,17
MR78823,2019-02-11,50,80,Средняя,Ясно,Грузовик,20129.0,Вечер,Понедельник,1
MR47778,2019-02-11,1168,96,Средняя,Ясно,Фургон,19256.0,Вечер,Понедельник,13
RT97535,2019-02-12,126,42,Высокая,,Фургон,10721.0,Утро,Вторник,3
MR19921,2019-02-12,539,73,Средняя,Ясно,Фургон,,Вечер,Вторник,9
RT15174,2019-02-12,2079,84,Средняя,Ясно,Грузовик,23520.0,Ночь,Вторник,27
MR63272,2019-02-12,1725,44,Высокая,Ясно,Грузовик,18653.0,Вечер,Вторник,35
RT54110,2019-02-12,1567,77,Малая,Ясно,Грузовик,13479.0,День,Вторник,17
RTE40537,2019-02-12,1689,76,Малая,Ясно,Фургон,2072.0,День,Вторник,25
RT61865,2019-02-12,1211,66,Малая,Ясно,Грузовик,10238.0,День,Вторник,17
RT38748,2019-02-12,474,64,Высокая,Ясно,Фургон,14084.0,Утро,Вторник,9
MR70840,2019-02-12,1460,58,Высокая,Ясно,Грузовик,19135.0,Вечер,Вторник,25
RT77149,2019-02-13,173,76,Средняя,Ясно,Грузовик,21966.0,Утро,Среда,4
RTE75803,2019-02-13,1519,72,Малая,,Рефрижератор,23982.0,Ночь,Среда,19
MR98504,2019-02-13,625,75,Малая,Ясно,Фургон,13868.0,Ночь,Среда,10
MR22750,2019-02-13,1868,74,Малая,Ясно,Прицеп,,День,Среда,26
RTE79565,2019-02-14,289,67,Малая,Ясно,Фургон,28654.0,День,Четверг,4
MR45070,2019-02-14,1181,83,Средняя,Ясно,Грузовик,13706.0,Утро,Четверг,16
RT15097,2019-02-14,1271,68,Высокая,Ясно,Грузовик,2954.0,Вечер,Четверг,22
RT61658,2019-02-14,1089,77,Малая,Ясно,Фургон,8453.0,День,Четверг,18
MR88087,2019-02-15,1639,79,Средняя,Ясно,Прицеп,5444.0,Вечер,Пятница,21
MR20346,2019-02-15,1514,58,Высокая,Ясно,Прицеп,20622.0,Утро,Пятница,28
MR76965,2019-02-15,1106,65,Малая,Ясно,Фургон,9173.0,Ночь,Пятница,19
RTE55064,2019-02-15,145,51,Высокая,Ясно,Прицеп,12127.0,Вечер,Пятница,5
RT49779,2019-02-15,452,89,Малая,Ясно,Грузовик,10633.0,Ночь,Пятница,7
RT11332,2019-02-15,1566,50,Высокая,Ясно,Грузовик,22768.0,Вечер,Пятница,34
RT47864,2019-02-16,1794,60,Малая,Ясно,Прицеп,15216.0,День,Суббота,31
RTE61050,2019-02-16,1470,73,Малая,Ясно,Грузовик,28028.0,Вечер,Суббота,22
MR21507,2019-02-16,726,79,Средняя,Ясно,Фургон,15326.0,Вечер,Суббота,10
RTE93592,2019-02-16,1150,83,Малая,Ясно,Фургон,18461.0,День,Суббота,14
MR54970,2019-02-17,1286,67,Средняя,Ясно,Фургон,29464.0,Вечер,Воскресенье,15
MR26914,2019-02-17,1141,81,Малая,Ясно,Прицеп,7998.0,День,Воскресенье,18
RT84751,2019-02-18,226,37,Высокая,Снег,Фургон,26316.0,Вечер,Понедельник,6
RTE84869,2019-02-18,1036,45,Высокая,Снег,Грузовик,25842.0,Вечер,Понедельник,29
MR91832,2019-02-18,334,33,Высокая,Снег,Фургон,14160.0,Вечер,Понедельник,10
MR55682,2019-02-18,850,52,Средняя,Снег,Грузовик,10109.0,День,Понедельник,22
RTE97533,2019-02-18,527,56,Средняя,Снег,Грузовик,5433.0,Вечер,Понедельник,8
MR82679,2019-02-18,881,66,Средняя,Снег,Фургон,29264.0,Утро,Понедельник,14
MR57764,2019-02-18,80,37,Высокая,Снег,Грузовик,28133.0,Утро,Понедельник,3
RTE80656,2019-02-18,1244,57,Средняя,Снег,Фургон,15947.0,День,Понедельник,22
MR57382,2019-02-19,316,108,Средняя,Ясно,Прицеп,25297.0,Утро,Вторник,4
RT24838,2019-02-19,157,80,Средняя,Ясно,Прицеп,5296.0,Утро,Вторник,2
RTE29934,2019-02-19,639,78,Средняя,,Фургон,16790.0,Вечер,Вторник,7
RT40352,2019-02-19,942,82,Средняя,Ясно,Прицеп,22317.0,День,Вторник,12
RTE57620,2019-02-20,1459,71,Малая,Ясно,Прицеп,10223.0,Ночь,Среда,22
MR29533,2019-02-20,74,92,Средняя,Ясно,Грузовик,2388.0,День,Среда,1
RTE23214,2019-02-20,2068,57,Средняя,Ясно,Фургон,19468.0,Ночь,Среда,27
RT86922,2019-02-20,1178,86,Средняя,Ясно,Фургон,19157.0,Вечер,Среда,17
RT75168,2019-02-21,794,62,Средняя,Ясно,Фургон,28492.0,День,Четверг,13
RT78034,2019-02-21,714,67,Высокая,Ясно,Фургон,14310.0,Утро,Четверг,10
RT75903,2019-02-21,1995,96,Малая,,,12208.0,День,Четверг,22
RT94930,2019-02-21,912,43,Высокая,Ясно,Фургон,28678.0,Вечер,Четверг,24
MR35375,2019-02-21,1684,64,Средняя,Ясно,Грузовик,21121.0,Ночь,Четверг,27
RTE14501,2019-02-22,870,43,Высокая,Ясно,Прицеп,5641.0,Утро,Пятница,21
MR67806,2019-02-22,737,78,Средняя,Ясно,Фургон,15428.0,Вечер,Суббота,10
MR39248,2019-02-22,1748,46,Высокая,Ясно,Фургон,,Вечер,Пятница,34
RTE60376,2019-02-23,519,72,Малая,Туман,Фургон,17532.0,Ночь,Суббота,9
MR16332,2019-02-23,104,55,Средняя,Туман,Прицеп,3241.0,День,Суббота,3
MR26370,2019-02-23,175,63,Средняя,Туман,Грузовик,5736.0,Вечер,Суббота,4
MR49853,2019-02-24,460,71,Средняя,Снег,Фургон,29412.0,Утро,Воскресенье,8
RT65308,2019-02-24,1222,66,Средняя,Снег,Грузовик,,День,Воскресенье,19
MR92597,2019-02-24,141,65,Малая,,Фургон,5639.0,Ночь,Воскресенье,2
MR87646,2019-02-24,1858,62,Средняя,Снег,Фургон,15043.0,Утро,Воскресенье,36
MR25247,2019-02-24,1597,53,Средняя,Снег,Грузовик,,День,Воскресенье,25
RT39270,2019-02-24,127,60,Средняя,Снег,Прицеп,18447.0,Вечер,Воскресенье,3
RT60370,2019-02-24,1752,79,Средняя,Снег,Фургон,12730.0,Утро,Воскресенье,27
MR10086,2019-02-25,271,58,Средняя,Снег,Фургон,11437.0,Вечер,Понедельник,5
RTE79461,2019-02-25,2006,64,Средняя,Снег,Грузовик,7940.0,Ночь,Понедельник,33
MR92721,2019-02-25,1553,67,Средняя,Снег,Грузовик,26171.0,Ночь,Понедельник,28
RT23646,2019-02-25,974,61,Средняя,Снег,Прицеп,26897.0,Утро,Понедельник,20
RT88076,2019-02-25,1031,38,Высокая,Снег,Фургон,13593.0,Утро,Понедельник,32
MR11510,2019-02-26,288,62,Средняя,Ясно,Прицеп,15951.0,Ночь,Вторник,5
MR11403,2019-02-26,827,101,Средняя,Ясно,Грузовик,8471.0,Вечер,Вторник,9
RT83919,2019-02-26,147,60,Средняя,Ясно,Прицеп,1296.0,Утро,Вторник,2
MR78575,2019-02-26,463,81,Малая,Ясно,Грузовик,29530.0,День,Вторник,8
RTE48870,2019-02-26,258,77,Малая,Ясно,Прицеп,3529.0,Ночь,Вторник,2
RTE52802,2019-02-27,128,56,Средняя,Снег,Прицеп,12727.0,Ночь,Среда,3
RT89086,2019-02-27,1954,63,Средняя,Снег,Фургон,13391.0,День,Среда,39
MR79991,2019-02-27,1776,66,Средняя,Снег,Грузовик,14024.0,День,Среда,29
RT17741,2019-02-28,1641,61,Высокая,Ясно,Грузовик,18261.0,Утро,Четверг,29
MR84297,2019-02-28,1182,81,Малая,Ясно,Прицеп,4554.0,День,Четверг,16
RT44400,2019-02-28,1489,76,Средняя,Ясно,Грузовик,13950.0,Вечер,Четверг,20
MR53959,2019-02-28,1430,38,Высокая,Ясно,Прицеп,16837.0,Вечер,Четверг,35
