ID заказа,Дата заказа,Тип клиента,Категория груза,Вес груза (кг),Объём груза (м³),Требуемое время доставки (дней),Расстояние до клиента (км),Особые условия,Приоритет доставки
OC53511,2019-01-09,Частный,Одежда,2530.08,10.16,8.0,776.0,Требуется аккуратность,Низкий
OD13858,2019-01-09,Корпоративный,Техника,2384.62,12.16,,739.0,,Низкий
OR70749,2019-01-10,Корпоративный,Техника,235.95,1.1,1.0,62.0,Требуется холод,Высокий
OD80217,2019-01-10,Корпоративный,Одежда,2157.37,11.1,8.0,799.0,Нет,Низкий
OR88593,2019-01-10,Частный,Продукты питания,2181.11,12.81,9.0,704.0,Требуется аккуратность,Низкий
OC70210,2019-01-10,Частный,Одежда,409.99,2.43,1.0,89.0,Требуется холод,Высокий
OD65265,2019-01-10,Частный,Медикаменты,524.06,2.43,1.0,10.0,Требуется холод,Высокий
OC66513,,Частный,Медикаменты,193.18,1.13,1.0,40.0,Требуется холод,Высокий
OC66695,2019-01-10,Корпоративный,Медикаменты,16083.0,96.07,9.0,1039.0,Требуется холод,
OC48652,2019-01-10,Частный,Медикаменты,960.53,4.76,14.0,,Требуется холод,
,2019-01-10,Частный,Одежда,2810.23,11.98,6.0,705.0,Требуется аккуратность,Низкий
OD73388,2019-01-10,Частный,Техника,912.15,5.42,2.0,178.0,Требуется холод,Высокий
OR51117,2019-01-10,Корпоративный,Медикаменты,629.08,3.64,2.0,155.0,Требуется холод,Высокий
OD85809,2019-01-10,Корпоративный,Продукты питания,711.68,3.78,1.0,63.0,Требуется холод,Высокий
OR48941,2019-01-11,Корпоративный,Продукты питания,2446.12,9.92,7.0,706.0,Нет,Низкий
OD50898,2019-01-11,Корпоративный,Стройматериалы,,16.63,9.0,564.0,Нет,Низкий
OD49805,2019-01-11,Корпоративный,Стройматериалы,488.89,2.31,1.0,65.0,Требуется холод,Высокий
OC86209,2019-01-11,Корпоративный,Техника,482.18,2.08,1.0,129.0,,Высокий
OD21243,2019-01-11,Корпоративный,Техника,2312.02,10.13,7.0,695.0,Требуется аккуратность,Низкий
OD36447,2019-01-11,Корпоративный,Стройматериалы,10639.02,57.17,18.0,1957.0,Требуется холод,
OC41425,2019-01-11,Корпоративный,Техника,1691.03,8.09,4.0,258.0,Требуется аккуратность,Средний
OC95501,2019-01-11,Корпоративный,Медикаменты,341.43,1.6,1.0,56.0,Требуется холод,Высокий
,2019-01-11,Корпоративный,Продукты питания,7703.37,38.01,30.0,2000.0,Нет,
OD83052,2019-01-11,Частный,Техника,260.42,1.12,1.0,44.0,Требуется холод,Высокий
OD10960,2019-01-11,Частный,Медикаменты,542.8,,1.0,82.0,Требуется холод,Высокий
OD93758,2019-01-11,Частный,Медикаменты,2622.83,12.79,13.0,654.0,Нет,Низкий
OR17863,2019-01-11,Частный,Медикаменты,444.99,2.61,4.0,209.0,Требуется холод,Высокий
OD81501,2019-01-11,Корпоративный,Техника,2828.99,15.82,9.0,725.0,Нет,Низкий
OD41052,2019-01-11,Корпоративный,Продукты питания,2115.78,8.64,3.0,224.0,,Средний
OR21123,2019-01-11,Корпоративный,Стройматериалы,2178.71,10.59,7.0,586.0,Требуется аккуратность,Низкий
OR27324,2019-01-11,Корпоративный,Одежда,370.69,2.12,2.0,171.0,Требуется аккуратность,Высокий
OD31987,2019-01-12,Частный,Одежда,2498.41,11.25,,706.0,Требуется аккуратность,Низкий
OR88116,2019-01-12,Корпоративный,Стройматериалы,2327.74,13.22,6.0,617.0,Требуется аккуратность,Низкий
OR73203,2019-01-12,Корпоративный,Продукты питания,461.93,2.39,2.0,174.0,Требуется холод,Высокий
OC79370,2019-01-12,Корпоративный,Одежда,1881.88,7.56,4.0,248.0,Требуется аккуратность,Средний
OC19263,2019-01-12,Частный,Медикаменты,402.57,2.32,1.0,104.0,Требуется холод,Высокий
OD80493,2019-01-12,Корпоративный,Медикаменты,1333.81,7.73,4.0,281.0,Требуется аккуратность,Средний
OR99670,2019-01-12,Частный,Продукты питания,318.49,1.8,1.0,140.0,Требуется аккуратность,Высокий
OR30339,2019-01-12,Частный,Одежда,2304.49,,14.0,760.0,Нет,Низкий
,2019-01-12,Корпоративный,Медикаменты,166.12,0.84,1.0,146.0,Требуется холод,Высокий
OD63763,2019-01-12,Частный,Медикаменты,347.35,1.9,2.0,104.0,Требуется холод,Высокий
OR56295,2019-01-12,Корпоративный,Продукты питания,1551.94,6.61,4.0,,Требуется аккуратность,Средний
OR77963,2019-01-12,Частный,Стройматериалы,167.7,0.96,1.0,48.0,Требуется аккуратность,Высокий
OR43994,2019-01-12,Частный,Одежда,2509.48,14.8,5.0,,Требуется аккуратность,Низкий
OC76257,2019-01-12,Частный,Техника,2701.26,12.58,6.0,,Требуется аккуратность,Низкий
OR26994,2019-01-12,Частный,Продукты питания,1274.06,5.76,1.0,102.0,Нет,Средний
OR99922,,Частный,Стройматериалы,2340.62,10.52,5.0,,Нет,Низкий
OR66901,2019-01-12,Корпоративный,Продукты питания,1574.23,7.36,5.0,288.0,Нет,Средний
OC33381,2019-01-12,Корпоративный,Медикаменты,733.56,,2.0,127.0,Требуется холод,Высокий
OC29353,2019-01-12,Корпоративный,Техника,1417.62,5.89,3.0,,,Средний
,2019-01-12,Частный,Одежда,1578.89,,4.0,323.0,Требуется аккуратность,Средний
OR28328,2019-01-13,Корпоративный,Одежда,14172.89,,29.0,2056.0,Нет,
OR46411,2019-01-13,Корпоративный,Одежда,915.08,5.11,3.0,196.0,Требуется холод,Высокий
OC79185,2019-01-13,Частный,Техника,1418.38,,4.0,219.0,Нет,Средний
OC77986,,Корпоративный,Медикаменты,1125.84,5.23,5.0,434.0,Требуется аккуратность,Средний
OR43668,2019-01-13,Корпоративный,Одежда,2565.39,10.67,8.0,523.0,Требуется аккуратность,Низкий
,2019-01-13,Корпоративный,Медикаменты,547.12,3.27,2.0,192.0,Требуется холод,Высокий
OD96594,2019-01-13,Корпоративный,Техника,1567.7,6.94,8.0,482.0,Требуется аккуратность,Средний
OD15829,2019-01-13,Частный,Одежда,1536.37,8.66,2.0,232.0,Требуется аккуратность,Средний
OR43413,,Частный,Стройматериалы,666.07,3.32,1.0,62.0,Требуется холод,Высокий
OR72515,2019-01-13,Частный,Медикаменты,595.8,2.83,1.0,59.0,Требуется холод,Высокий
OD52327,2019-01-13,Частный,Техника,446.03,2.38,1.0,,Требуется холод,Высокий
OR56760,,Частный,Одежда,1575.46,9.02,4.0,370.0,Нет,Средний
OD77785,2019-01-13,Частный,Техника,,16.36,10.0,850.0,Требуется аккуратность,Низкий
,2019-01-14,Частный,Продукты питания,1345.24,,3.0,158.0,Требуется аккуратность,Средний
OD27869,2019-01-14,Частный,Стройматериалы,2799.21,11.51,7.0,722.0,Требуется аккуратность,Низкий
OC60904,2019-01-14,Корпоративный,Медикаменты,274.9,1.12,1.0,109.0,Требуется холод,Высокий
OC22980,2019-01-14,Корпоративный,Медикаменты,645.15,3.85,1.0,37.0,Требуется холод,Высокий
OD10628,2019-01-14,Корпоративный,Стройматериалы,594.29,2.7,4.0,227.0,Требуется холод,Высокий
OR89291,2019-01-14,Корпоративный,Медикаменты,397.76,1.63,1.0,104.0,Требуется холод,Высокий
OD25313,2019-01-14,Частный,Медикаменты,2718.84,12.66,6.0,,Нет,Низкий
OC86967,2019-01-14,Корпоративный,Одежда,269.02,1.17,18.0,2045.0,Требуется аккуратность,
OD60216,2019-01-14,Корпоративный,Одежда,468.4,2.3,1.0,32.0,Требуется холод,Высокий
OC18283,2019-01-14,Частный,Техника,664.63,3.83,1.0,4.0,Требуется холод,Высокий
OR54841,2019-01-14,Частный,Техника,3562.33,20.63,5.0,296.0,Требуется холод,
OD83794,2019-01-15,Частный,Одежда,2432.84,11.25,6.0,580.0,Требуется аккуратность,Низкий
OC75131,2019-01-15,Частный,Одежда,1450.85,7.18,4.0,296.0,Нет,Средний
OC32382,,Частный,Продукты питания,,2.77,2.0,248.0,Требуется холод,Высокий
OD21626,2019-01-15,Корпоративный,Одежда,725.31,3.69,6.0,306.0,Требуется холод,Высокий
OD39080,2019-01-15,Частный,Одежда,,3.06,1.0,98.0,Требуется холод,Высокий
OR63693,2019-01-15,Частный,Продукты питания,4656.92,20.98,9.0,1001.0,Нет,
,2019-01-15,Корпоративный,Одежда,1539.62,6.67,2.0,256.0,Требуется аккуратность,Средний
OR13565,2019-01-15,Корпоративный,Медикаменты,493.45,2.44,2.0,109.0,Требуется холод,Высокий
OD94318,2019-01-16,Корпоративный,Продукты питания,1449.0,6.97,,88.0,Требуется аккуратность,Средний
OD31448,2019-01-16,Частный,Стройматериалы,2718.3,15.76,6.0,673.0,Нет,Низкий
OD83378,2019-01-16,Частный,Медикаменты,2425.71,13.81,11.0,611.0,Требуется аккуратность,Низкий
OC28069,2019-01-16,Корпоративный,Продукты питания,15589.91,83.06,7.0,462.0,Требуется аккуратность,
,2019-01-16,Корпоративный,Продукты питания,1850.45,8.45,4.0,358.0,,Средний
OC96858,2019-01-16,Корпоративный,Техника,274.19,1.3,1.0,2.0,Требуется холод,Высокий
OD96091,2019-01-16,Корпоративный,Продукты питания,2642.6,11.51,7.0,757.0,Нет,Низкий
OR92578,2019-01-16,Корпоративный,Медикаменты,588.85,2.67,1.0,14.0,Требуется холод,Высокий
OD77484,2019-01-16,Частный,Одежда,623.19,3.72,1.0,126.0,Требуется холод,Высокий
,2019-01-16,Корпоративный,Одежда,249.78,1.27,1.0,,Требуется холод,Высокий
OR89031,2019-01-16,Частный,Медикаменты,395.46,2.23,1.0,13.0,Нет,Высокий
OC26662,2019-01-16,Корпоративный,Стройматериалы,188.67,0.86,4.0,240.0,Требуется холод,Высокий
OR73899,2019-01-16,Корпоративный,Стройматериалы,1083.61,,4.0,317.0,Нет,Средний
OC96864,2019-01-16,Корпоративный,Продукты питания,480.66,2.32,1.0,97.0,Требуется аккуратность,Высокий
OR13394,2019-01-16,Частный,Медикаменты,720.66,3.74,1.0,71.0,Требуется холод,Высокий
OC56071,2019-01-16,Корпоративный,Стройматериалы,488.61,2.0,1.0,8.0,Требуется холод,Высокий
OR22240,2019-01-16,Частный,Техника,648.65,3.76,2.0,101.0,Требуется холод,Высокий
OD42684,2019-01-16,Корпоративный,Одежда,569.52,3.24,2.0,116.0,Требуется холод,Высокий
OR53058,2019-01-16,Корпоративный,Одежда,304.33,1.81,2.0,182.0,Требуется холод,Высокий
OD84191,2019-01-17,Корпоративный,Стройматериалы,2594.52,,8.0,779.0,Нет,Низкий
OR16839,2019-01-17,Корпоративный,Продукты питания,833.09,3.98,1.0,2.0,Требуется аккуратность,Высокий
OC30197,2019-01-17,Частный,Техника,375.04,1.59,1.0,42.0,Требуется аккуратность,Высокий
OC89939,2019-01-17,Частный,Продукты питания,537.35,2.88,1.0,13.0,Требуется холод,Высокий
OR83868,,Частный,Техника,315.35,1.34,2.0,184.0,Требуется холод,Высокий
OD93587,2019-01-17,Частный,Техника,2310.12,10.67,5.0,,Требуется аккуратность,Низкий
OR80157,2019-01-17,Корпоративный,Продукты питания,536.97,2.38,1.0,54.0,Требуется холод,Высокий
OD31284,2019-01-17,Частный,Одежда,4422.8,23.32,6.0,557.0,Нет,
OD96255,2019-01-17,Частный,Медикаменты,524.4,2.78,1.0,,Требуется холод,Высокий
OR86284,2019-01-17,Частный,Стройматериалы,2729.85,12.73,13.0,842.0,Требуется аккуратность,Низкий
OR66113,2019-01-17,Частный,Техника,2374.61,13.03,10.0,655.0,Требуется аккуратность,Низкий
OD68421,2019-01-17,Частный,Медикаменты,1626.48,9.05,3.0,174.0,Нет,Средний
,2019-01-17,Частный,Техника,2354.57,12.65,7.0,750.0,Требуется аккуратность,Низкий
OC94431,2019-01-17,Корпоративный,Продукты питания,535.54,2.2,1.0,,Требуется холод,Высокий
OD90988,2019-01-17,Корпоративный,Одежда,26359.33,113.14,12.0,1374.0,Требуется аккуратность,
OD17838,2019-01-17,Корпоративный,Техника,,3.61,1.0,,Требуется холод,Высокий
OC40196,2019-01-17,Корпоративный,Одежда,716.16,3.41,2.0,94.0,Требуется холод,Высокий
OR10944,2019-01-17,Корпоративный,Одежда,2167.81,10.56,7.0,722.0,Требуется аккуратность,Низкий
OC84178,2019-01-17,Частный,Продукты питания,,6.72,4.0,384.0,Требуется аккуратность,Средний
OC38282,2019-01-18,Частный,Техника,1492.09,6.95,5.0,302.0,Требуется аккуратность,Средний
OC16752,2019-01-18,Корпоративный,Медикаменты,687.66,3.51,1.0,63.0,Требуется холод,Высокий
OD59324,2019-01-18,Корпоративный,Одежда,14625.06,67.32,14.0,1248.0,Нет,
OC88908,2019-01-18,Корпоративный,Стройматериалы,2413.1,11.67,8.0,662.0,Нет,Низкий
OC34333,2019-01-18,Корпоративный,Стройматериалы,751.15,3.03,1.0,65.0,Требуется холод,Высокий
OC93172,2019-01-18,Частный,Медикаменты,789.4,3.72,1.0,19.0,Требуется холод,Высокий
OR57090,2019-01-18,Частный,Техника,2553.41,13.76,9.0,785.0,Нет,Низкий
OC20878,2019-01-18,Корпоративный,Техника,396.54,1.99,1.0,71.0,Требуется холод,Высокий
OD20596,2019-01-18,Корпоративный,Продукты питания,1410.9,7.68,3.0,258.0,Требуется аккуратность,Средний
OR45847,2019-01-18,Частный,Медикаменты,415.96,2.17,1.0,27.0,Требуется холод,Высокий
OC47723,2019-01-18,Частный,Одежда,299.17,1.78,1.0,119.0,Требуется холод,Высокий
OD19085,2019-01-18,Частный,Стройматериалы,810.1,3.68,1.0,83.0,Требуется холод,Высокий
OD66307,2019-01-18,Частный,Одежда,490.11,2.06,2.0,131.0,Требуется холод,Высокий
OD65984,2019-01-18,Частный,Техника,1533.29,6.54,6.0,496.0,Нет,Средний
OC23892,2019-01-18,Частный,Стройматериалы,2372.45,10.76,8.0,656.0,Требуется аккуратность,Низкий
OC59600,2019-01-18,Корпоративный,Одежда,2372.52,12.22,8.0,654.0,Требуется аккуратность,Низкий
OR20072,2019-01-19,Частный,Стройматериалы,1333.53,7.4,6.0,351.0,Нет,Средний
OC24004,2019-01-19,Частный,Продукты питания,1540.58,6.28,5.0,444.0,Требуется аккуратность,Средний
OR83943,2019-01-19,Частный,Одежда,2377.44,14.1,8.0,727.0,Нет,Низкий
OD75131,2019-01-19,Корпоративный,Продукты питания,2631.71,12.39,6.0,636.0,Требуется аккуратность,Низкий
OD97794,2019-01-19,Частный,Продукты питания,2224.14,12.56,8.0,844.0,Требуется аккуратность,Низкий
,2019-01-19,Частный,Техника,396.48,2.12,3.0,195.0,Требуется холод,Высокий
OD13767,2019-01-19,Корпоративный,Медикаменты,1005.39,5.21,2.0,184.0,Требуется холод,Высокий
OR62146,2019-01-19,Корпоративный,Техника,3999.43,16.69,23.0,1517.0,Нет,
OC48019,2019-01-19,Корпоративный,Продукты питания,2636.38,15.27,,747.0,Нет,Низкий
OC33986,2019-01-19,Корпоративный,Одежда,2428.14,11.55,10.0,766.0,Нет,Низкий
OR14989,2019-01-19,Частный,Одежда,1601.45,9.26,4.0,411.0,,Средний
OD83068,2019-01-19,Частный,Медикаменты,629.74,2.76,3.0,197.0,Требуется холод,Высокий
OC39369,2019-01-19,Корпоративный,Стройматериалы,336.61,2.0,1.0,102.0,Требуется холод,Высокий
,2019-01-19,Частный,Медикаменты,755.69,3.96,1.0,9.0,,Высокий
OC19622,2019-01-19,Частный,Медикаменты,649.25,3.68,3.0,,,Высокий
OD65305,2019-01-19,Частный,Одежда,1438.44,7.2,6.0,426.0,Требуется аккуратность,Средний
OD76932,2019-01-19,Частный,Одежда,480.94,2.5,2.0,115.0,Требуется холод,Высокий
,2019-01-19,Корпоративный,Продукты питания,2410.71,11.18,10.0,618.0,Требуется аккуратность,Низкий
OD79944,2019-01-19,Частный,Одежда,1526.59,8.37,2.0,178.0,Требуется аккуратность,Средний
OC62583,2019-01-19,Частный,Техника,388.22,2.25,,225.0,Нет,Высокий
OD53708,,Частный,Продукты питания,486.85,2.65,,250.0,Требуется холод,Высокий
OC72674,2019-01-19,Частный,Одежда,210.4,1.04,1.0,60.0,Требуется холод,Высокий
OD72767,2019-01-19,Частный,Одежда,295.75,1.68,1.0,55.0,Требуется холод,Высокий
OD83277,2019-01-19,Корпоративный,Одежда,243.94,1.22,1.0,92.0,Требуется холод,Высокий
OD94578,2019-01-19,Частный,Стройматериалы,964.45,4.71,,919.0,Требуется аккуратность,
OR66699,2019-01-19,Корпоративный,Стройматериалы,,9.85,3.0,178.0,Требуется аккуратность,Средний
OD69227,2019-01-19,Корпоративный,Продукты питания,1361.62,7.26,3.0,,Требуется аккуратность,Средний
OR19925,2019-01-19,Корпоративный,Медикаменты,451.75,2.01,2.0,216.0,Требуется холод,Высокий
,,Корпоративный,Продукты питания,1483.57,7.35,6.0,337.0,Требуется аккуратность,Средний
OR34444,2019-01-20,Корпоративный,Медикаменты,2613.95,10.67,8.0,806.0,,Низкий
OR27314,2019-01-20,Частный,Медикаменты,2539.3,15.16,7.0,815.0,Требуется аккуратность,Низкий
