Расстояние (км),Вес груза (кг),Объём груза (м³),Плотность (кг/м³),Стоимость топлива (тенге/л),Тип груза,Тип транспорта,Зарплата водителя (тенге),Налоги и сборы (тенге),Стоимость доставки (тенге)
226.0,1070.0,1.8034274945076323,593.0,200.0,Продукты,Тент,125798.0,29303.0,179515.0
1036.0,6443.0,54.7,118.0,211.0,Мебель,Тент,198356.0,44924.0,306294.0
153.0,2216.0,22.0,101.0,238.0,Мебель,Грузовик,183105.0,44173.0,221923.0
908.0,17735.0,9.5,1867.0,195.0,Стройматериалы,Грузовик,103995.0,15667.0,165444.0
2569.0,1723.0,3.895259977607549,442.0,258.0,Продукты,Рефрижератор,185297.0,38440.0,601294.0
196.0,2511.0,3.7,679.0,214.0,Одежда,Грузовик,145670.0,22398.0,144609.0
1286.0,1089.0,2.792466767254727,390.0,181.0,Продукты,Тент,175487.0,33370.0,276136.0
433.0,37115.0,15.7,2364.0,258.0,Стройматериалы,Грузовик,196102.0,48278.0,256455.0
1355.0,8844.0,20.188276870582875,438.0,199.0,Мебель,Грузовик,135737.0,30933.0,218859.0
2417.0,6638.0,22.6,294.0,235.0,Техника,Тент,122245.0,29634.0,282682.0
1940.0,4623.0,13.3,348.0,232.0,Одежда,Тент,140145.0,23686.0,243914.0
2274.0,25163.0,92.7,271.0,256.0,Стройматериалы,Тент,115239.0,28084.0,315095.0
1085.0,17086.0,92.5,185.0,258.0,Одежда,Тент,131207.0,26034.0,176947.0
2725.0,4502.0,12.0,375.0,203.0,Техника,Тент,103711.0,19016.0,269657.0
2155.0,4076.0,11.3,361.0,241.0,Одежда,Грузовик,138022.0,27529.0,253948.0
1300.0,12224.0,35.1,348.0,203.0,Техника,Грузовик,,,220084.0
1379.0,36115.0,17.5,2064.0,252.0,Стройматериалы,Грузовик,197905.0,44749.0,311005.0
2628.0,32755.0,25.0,1310.0,230.0,Стройматериалы,Грузовик,175162.0,39904.0,361066.0
1761.0,31781.0,17.4,1826.0,188.0,Стройматериалы,Грузовик,100219.0,16549.0,177351.0
2113.0,3123.0,15.6,200.0,256.0,Техника,Тент,179448.0,36109.0,325649.0
1298.0,26039.0,38.4,678.0,203.0,Стройматериалы,Грузовик,110288.0,25666.0,176502.0
720.0,2941.0,38.4,77.0,231.0,Мебель,Грузовик,144036.0,33543.0,210912.0
2140.0,31593.0,49.0,645.0,240.0,Стройматериалы,Грузовик,117393.0,18853.0,256096.0
1846.0,2160.0,10.8,200.0,256.0,Мебель,Грузовик,160857.0,31122.0,333760.0
1604.0,32680.0,96.3,339.0,223.0,Техника,Грузовик,119676.0,21144.0,206980.0
1887.0,21763.0,60.8,358.0,240.0,Техника,Грузовик,139528.0,26026.0,237826.0
702.0,31267.0,64.4,486.0,259.0,Стройматериалы,Тент,151911.0,22968.0,199558.0
2259.0,16188.0,51.3,316.0,258.0,Техника,Грузовик,139519.0,23567.0,294779.0
2663.0,25345.0,79.5,319.0,213.0,Техника,Грузовик,105185.0,23036.0,233240.0
2720.0,6512.0,86.1,76.0,239.0,Мебель,Тент,154187.0,37723.0,407906.0
1060.0,29464.0,38.0,775.0,232.0,Стройматериалы,Грузовик,160390.0,31718.0,255637.0
1292.0,473.0,0.9986955828269664,474.0,220.0,Продукты,Рефрижератор,105698.0,24204.0,296460.0
2461.0,21615.0,34.2,632.0,240.0,Стройматериалы,Грузовик,141112.0,21265.0,307606.0
1899.0,29510.0,80.6,366.0,186.0,Техника,Тент,179817.0,42761.0,283788.0
1609.0,12922.0,30.6,422.0,202.0,Продукты,Грузовик,122912.0,29727.0,242979.0
2753.0,4953.0,15.4,322.0,194.0,Одежда,Грузовик,193198.0,41195.0,307738.0
1538.0,9932.0,54.81033750386269,181.0,221.0,Мебель,Тент,,,289981.0
1629.0,1427.0,3.3,432.0,253.0,Продукты,Тент,118850.0,21624.0,285030.0
201.0,11393.0,76.0,150.0,189.0,Мебель,Тент,185439.0,32227.0,234867.0
273.0,2657.0,5.0,531.0,246.0,Одежда,Тент,108949.0,21403.0,111978.0
103.0,32687.0,25.7,1272.0,233.0,Стройматериалы,Грузовик,,,163405.0
2871.0,29890.0,80.1,373.0,254.0,Одежда,Тент,175079.0,39686.0,310127.0
1286.0,3574.0,18.2,196.0,237.0,Мебель,Грузовик,163453.0,30146.0,261740.0
1489.0,1003.0,2.2839504192244573,439.0,205.0,Продукты,Тент,188698.0,43190.0,353764.0
2618.0,23091.0,65.7,351.0,217.0,Техника,Грузовик,174498.0,39563.0,326870.0
1791.0,10692.0,16.027223144907918,667.0,209.0,Мебель,Грузовик,104873.0,19177.0,220223.0
1910.0,29070.0,23.7,1227.0,191.0,Стройматериалы,Тент,172169.0,28516.0,309435.0
965.0,25093.0,81.4,308.0,251.0,Техника,Тент,176496.0,34285.0,265321.0
2633.0,1519.0,20.4,74.0,220.0,Мебель,Грузовик,112469.0,26557.0,288308.0
590.0,1837.0,5.106286172888176,360.0,207.0,Продукты,Тент,110320.0,22247.0,170771.0
247.0,5548.0,30.0,185.0,233.0,Мебель,Грузовик,147397.0,22697.0,195072.0
631.0,470.0,0.7285070785028595,645.0,197.0,Продукты,Тент,173097.0,41792.0,287856.0
874.0,13668.0,20.39145129426208,670.0,259.0,Одежда,Тент,155142.0,33150.0,213567.0
868.0,5538.0,8.238671642553426,672.0,259.0,Одежда,Грузовик,173870.0,35334.0,197649.0
1996.0,16091.0,6.6,2438.0,215.0,Стройматериалы,Грузовик,164861.0,30961.0,319017.0
733.0,738.0,1.6256573027084045,454.0,185.0,Продукты,Рефрижератор,108844.0,22337.0,209431.0
1947.0,963.0,2.0949794229793106,460.0,183.0,Продукты,Тент,106076.0,18104.0,242334.0
333.0,2781.0,7.8,357.0,215.0,Техника,Грузовик,182886.0,38817.0,187013.0
493.0,30782.0,78.2,394.0,221.0,Стройматериалы,Грузовик,146864.0,32260.0,197304.0
1520.0,12339.0,33.0,374.0,224.0,Одежда,Тент,174714.0,42426.0,256614.0
2653.0,20113.0,73.0,276.0,237.0,Стройматериалы,Грузовик,171688.0,35137.0,342712.0
2600.0,5742.0,16.9,340.0,257.0,Продукты,Грузовик,,,400343.0
2753.0,9158.0,19.1,479.0,222.0,Одежда,Грузовик,135675.0,20461.0,259803.0
1953.0,1586.0,5.162398374305309,307.0,199.0,Продукты,Тент,197014.0,48060.0,360835.0
2090.0,19531.0,39.7,492.0,197.0,Стройматериалы,Грузовик,127893.0,23217.0,230510.0
1814.0,5688.0,21.2,268.0,183.0,Техника,Тент,157819.0,36439.0,265006.0
1977.0,6844.0,24.6,278.0,205.0,Техника,Грузовик,188805.0,34143.0,295483.0
482.0,2870.0,7.5,383.0,237.0,Техника,Грузовик,104867.0,24685.0,133742.0
1753.0,32829.0,14.8,2218.0,193.0,Стройматериалы,Тент,167922.0,31772.0,281309.0
1192.0,8116.0,23.257878487111213,349.0,246.0,Техника,Грузовик,136341.0,22889.0,195075.0
1299.0,33036.0,46.3,714.0,238.0,Стройматериалы,Грузовик,112334.0,16954.0,195462.0
1554.0,600.0,1.6260501925896915,369.0,225.0,Продукты,Рефрижератор,106570.0,16589.0,320095.0
442.0,28922.0,65.0,445.0,250.0,Стройматериалы,Грузовик,159333.0,33858.0,197908.0
1178.0,1033.0,2.8,369.0,194.0,Одежда,Тент,117929.0,25606.0,163851.0
278.0,31000.0,107.4,289.0,219.0,Техника,Грузовик,100672.0,19141.0,109599.0
3053.0,9640.0,20.9,461.0,191.0,Одежда,Грузовик,126258.0,24406.0,231342.0
412.0,5163.0,10.3,501.0,196.0,Продукты,Грузовик,135441.0,23207.0,170521.0
813.0,19155.0,46.4,413.0,221.0,Стройматериалы,Грузовик,155673.0,27438.0,228803.0
2714.0,529.0,0.8352799281425095,633.0,259.0,Продукты,Тент,199045.0,43268.0,509151.0
1405.0,8037.0,29.6,272.0,228.0,,Тент,167544.0,27083.0,241369.0
473.0,3562.0,11.6,307.0,211.0,Техника,Грузовик,172259.0,40839.0,219038.0
1139.0,19614.0,60.4,325.0,259.0,Техника,Тент,192084.0,37009.0,278132.0
397.0,4213.0,10.9,387.0,251.0,Техника,Тент,110009.0,17142.0,128970.0
692.0,8383.0,85.7,98.0,185.0,Мебель,Грузовик,177413.0,30128.0,248103.0
229.0,13132.0,22.5,584.0,195.0,Одежда,Тент,113989.0,26174.0,108999.0
1336.0,1233.0,2.019554858889457,611.0,244.0,Продукты,Рефрижератор,160754.0,29743.0,396356.0
2427.0,2669.0,10.55530749240288,253.0,188.0,Техника,Грузовик,114020.0,17758.0,216916.0
1850.0,33636.0,63.6,529.0,234.0,Стройматериалы,Тент,125097.0,25548.0,266100.0
1730.0,19089.0,36.6,522.0,197.0,Стройматериалы,Тент,115034.0,25792.0,247218.0
684.0,22082.0,25.9,853.0,235.0,Стройматериалы,Грузовик,195296.0,38458.0,267765.0
1077.0,10022.0,35.0,286.0,186.0,Техника,Тент,114136.0,17389.0,170964.0
2400.0,3011.0,5.086032552661871,592.0,193.0,Мебель,Грузовик,117452.0,18525.0,283197.0
352.0,2718.0,35.6,76.0,211.0,Мебель,Грузовик,175181.0,38681.0,204912.0
2712.0,5683.0,54.8,104.0,193.0,Мебель,Тент,189514.0,28515.0,368087.0
1506.0,18398.0,51.9,354.0,228.0,Техника,Грузовик,182734.0,41732.0,289769.0
2433.0,16616.0,9.3,1787.0,223.0,Стройматериалы,Грузовик,142428.0,24117.0,317930.0
1002.0,5815.0,21.0,277.0,206.0,Техника,Грузовик,107353.0,16151.0,167295.0
1059.0,30983.0,13.4,2312.0,183.0,Стройматериалы,Тент,158710.0,30894.0,221773.0
2125.0,21071.0,76.5,275.0,224.0,Техника,Грузовик,177248.0,43912.0,297596.0
2348.0,1092.0,2.126733915579694,513.0,212.0,Продукты,Тент,141341.0,28011.0,345286.0
746.0,20826.0,13.1,1590.0,231.0,Стройматериалы,Грузовик,131740.0,21725.0,186129.0
2991.0,23686.0,38.2,620.0,227.0,Стройматериалы,Грузовик,153220.0,25028.0,373900.0
336.0,2960.0,24.9,119.0,181.0,Мебель,Грузовик,197148.0,45879.0,227694.0
275.0,23570.0,40.3,585.0,241.0,,Тент,180586.0,35239.0,217281.0
1782.0,8627.0,26.5,326.0,200.0,Техника,Тент,192789.0,35332.0,282931.0
2143.0,30589.0,73.8,414.0,250.0,Продукты,Грузовик,186337.0,34475.0,365080.0
2756.0,6666.0,36.9,181.0,217.0,Мебель,Тент,120107.0,27735.0,293830.0
1233.0,488.0,0.7404789390067268,659.0,259.0,Продукты,Тент,121339.0,28323.0,264882.0
165.0,33128.0,61.1,542.0,180.0,Стройматериалы,Грузовик,134467.0,20862.0,146691.0
1883.0,1465.0,2.1247657178627644,689.0,207.0,Продукты,Тент,157819.0,32755.0,356461.0
969.0,10885.0,17.4,626.0,243.0,Продукты,Грузовик,101043.0,21253.0,195057.0
1350.0,1439.0,2.672236803701537,539.0,205.0,Продукты,Тент,,,268378.0
1528.0,1021.0,1.850359136875443,552.0,252.0,Продукты,Тент,111996.0,26441.0,245218.0
285.0,21168.0,53.2,398.0,256.0,Техника,Тент,151757.0,24977.0,180257.0
1487.0,13096.0,36.6,358.0,218.0,Техника,Грузовик,198181.0,42764.0,294710.0
1371.0,1724.0,3.310597393670407,521.0,246.0,Продукты,Рефрижератор,136197.0,24986.0,310791.0
2022.0,17644.0,7.9,2233.0,204.0,Стройматериалы,Тент,150795.0,32719.0,301365.0
2007.0,3183.0,18.4,173.0,211.0,Мебель,Тент,149984.0,37033.0,331269.0
587.0,3227.0,35.2,92.0,234.0,Мебель,Грузовик,,,193146.0
696.0,374.0,0.606693102236777,616.0,185.0,Продукты,Тент,102754.0,20804.0,170491.0
807.0,22175.0,12.6,1760.0,197.0,Стройматериалы,Грузовик,116998.0,24818.0,175113.0
612.0,6894.0,42.2,163.0,226.0,Мебель,Грузовик,142358.0,26815.0,201871.0
1986.0,9380.0,36.1,260.0,229.0,Техника,Тент,175562.0,33816.0,316121.0
3008.0,3111.0,17.6,177.0,184.0,Мебель,Тент,143288.0,28158.0,356877.0
1931.0,12408.0,38.3,324.0,244.0,Продукты,Грузовик,130952.0,19761.0,281894.0
1943.0,27824.0,54.3,512.0,223.0,Стройматериалы,Тент,141141.0,25572.0,266382.0
1215.0,1252.0,5.938180958605364,211.0,192.0,Техника,Грузовик,184744.0,39677.0,224498.0
955.0,2035.0,19.8,103.0,236.0,Мебель,Тент,116074.0,23600.0,215426.0
2743.0,22142.0,33.1,669.0,257.0,Продукты,Грузовик,177113.0,31223.0,454021.0
2792.0,3991.0,12.0,333.0,252.0,Техника,Грузовик,101303.0,22052.0,276384.0
1438.0,2440.0,16.2,151.0,241.0,Мебель,Тент,189563.0,31976.0,320821.0
913.0,17813.0,91.7,194.0,243.0,Мебель,Грузовик,135815.0,23437.0,200605.0
2414.0,1752.0,5.014492237798927,349.0,191.0,Продукты,Тент,143958.0,24110.0,303830.0
452.0,17519.0,37.3,470.0,245.0,Стройматериалы,Грузовик,182534.0,33562.0,206047.0
2315.0,1528.0,3.212906220048509,476.0,209.0,Продукты,Тент,128515.0,26583.0,309952.0
2418.0,37147.0,18.9,1965.0,205.0,Стройматериалы,Грузовик,199527.0,38782.0,317746.0
472.0,26174.0,59.1,443.0,200.0,Стройматериалы,Грузовик,122802.0,19189.0,153851.0
3044.0,20442.0,30.8,664.0,181.0,Одежда,Тент,127673.0,19301.0,217687.0
2939.0,22319.0,47.0,475.0,189.0,Одежда,Тент,133054.0,20411.0,259623.0
2641.0,1568.0,3.3,475.0,,Одежда,Грузовик,133840.0,21067.0,
1598.0,25908.0,43.1,601.0,183.0,Стройматериалы,Тент,151192.0,29520.0,274906.0
798.0,11348.0,23.8,477.0,254.0,Продукты,Грузовик,197128.0,38019.0,301203.0
1734.0,13983.0,22.023896357875422,635.0,229.0,Мебель,Тент,187806.0,35408.0,327083.0
1310.0,348.0,0.6983462003894204,498.0,249.0,Продукты,Тент,139396.0,31973.0,299168.0
647.0,37399.0,95.3,392.0,197.0,Техника,Тент,160188.0,30627.0,191691.0
1294.0,9446.0,19.56827176897864,483.0,244.0,Техника,Тент,109068.0,24136.0,204842.0
2027.0,35841.0,93.3,384.0,181.0,Одежда,Грузовик,169366.0,27792.0,222699.0
287.0,14426.0,40.6,355.0,190.0,Одежда,Тент,132799.0,27913.0,142825.0
1000.0,3511.0,5.463969014143483,643.0,235.0,Мебель,Тент,183765.0,43665.0,286097.0
134.0,3088.0,8.2,377.0,235.0,Техника,Грузовик,111762.0,16895.0,122121.0
2149.0,2666.0,24.9,107.0,233.0,Мебель,Тент,142893.0,34434.0,308148.0
1958.0,3627.0,11.5,315.0,228.0,Техника,Грузовик,199259.0,43537.0,305165.0
254.0,15595.0,50.5,309.0,260.0,Техника,Грузовик,106629.0,20440.0,130436.0
2725.0,14647.0,33.8,433.0,206.0,Одежда,Грузовик,,,247674.0
153.0,33292.0,30.8,1081.0,194.0,Стройматериалы,Грузовик,117822.0,18416.0,138760.0
1849.0,1571.0,3.532378255425766,445.0,199.0,Продукты,Тент,192588.0,43857.0,384226.0
2320.0,2602.0,14.4,181.0,251.0,Мебель,Тент,129393.0,30932.0,312454.0
2461.0,22408.0,82.0,273.0,230.0,Стройматериалы,Грузовик,107005.0,19996.0,274193.0
174.0,15820.0,39.802542436212086,397.0,210.0,Техника,Грузовик,161930.0,36549.0,185608.0
2690.0,5111.0,12.8,399.0,222.0,Техника,Тент,159678.0,37304.0,326183.0
2803.0,21372.0,32.3,662.0,242.0,Одежда,Грузовик,114671.0,17893.0,243093.0
1729.0,6464.0,80.9,80.0,233.0,Мебель,Тент,127861.0,29403.0,250165.0
1521.0,15208.0,68.2,223.0,227.0,Техника,Тент,117566.0,27558.0,231856.0
218.0,20381.0,59.9,340.0,234.0,Одежда,Тент,172735.0,42834.0,172080.0
1656.0,18557.0,47.0,395.0,228.0,Техника,Тент,106743.0,26670.0,224092.0
1302.0,7793.0,34.5,226.0,214.0,Техника,Тент,129260.0,28496.0,197005.0
2253.0,8875.0,13.4,662.0,207.0,Продукты,Грузовик,197049.0,31687.0,393920.0
1284.0,24634.0,35.5,694.0,237.0,Продукты,Грузовик,193973.0,42569.0,348208.0
2043.0,13397.0,30.5222864527714,439.0,251.0,Мебель,Грузовик,127780.0,22256.0,269446.0
365.0,3513.0,20.4,172.0,202.0,Мебель,Грузовик,191290.0,44617.0,244691.0
473.0,2273.0,14.335814099874897,159.0,232.0,Мебель,Тент,110854.0,19394.0,162607.0
516.0,8774.0,22.23020999704036,395.0,182.0,Одежда,Тент,149489.0,30321.0,167298.0
204.0,1962.0,3.16590329902688,620.0,235.0,Продукты,Тент,156928.0,34558.0,218558.0
1665.0,723.0,1.983257939183774,365.0,206.0,Продукты,Рефрижератор,146952.0,36084.0,404676.0
2479.0,341.0,0.6457812775415289,528.0,247.0,Продукты,Рефрижератор,139009.0,32791.0,484489.0
1812.0,32242.0,77.5,416.0,259.0,Стройматериалы,Тент,106647.0,24285.0,233484.0
1674.0,17565.0,29.3,599.0,194.0,Одежда,Тент,119348.0,28039.0,192983.0
2099.0,15633.0,47.5,329.0,181.0,Стройматериалы,Грузовик,166160.0,34456.0,291492.0
1128.0,39005.0,20.3,1921.0,182.0,Стройматериалы,Тент,197228.0,38029.0,267054.0
1161.0,11608.0,32.2,360.0,202.0,Продукты,Грузовик,170612.0,35662.0,302214.0
937.0,11914.0,29.46058465896079,404.0,247.0,Мебель,Тент,130593.0,32201.0,228995.0
2130.0,30853.0,79.5,388.0,250.0,Стройматериалы,Грузовик,169607.0,36145.0,317573.0
570.0,21730.0,77.2,281.0,255.0,Техника,Тент,113540.0,20678.0,160603.0
117.0,376.0,1.0287947988756394,365.0,202.0,Продукты,Рефрижератор,157981.0,37308.0,268149.0
1737.0,4442.0,60.3,74.0,236.0,Мебель,Тент,168926.0,34445.0,304089.0
2707.0,1362.0,2.08210603819726,654.0,221.0,Продукты,Тент,197101.0,38763.0,409292.0
1745.0,2621.0,9.4,279.0,181.0,Техника,Грузовик,155325.0,25484.0,205802.0
2438.0,26776.0,41.4,647.0,219.0,Одежда,Грузовик,115041.0,18501.0,217972.0
2064.0,322.0,0.6854497092142172,470.0,201.0,Продукты,Рефрижератор,162188.0,35473.0,429756.0
1501.0,14897.0,24.461059935598577,609.0,236.0,Техника,Тент,126799.0,19756.0,222247.0
2147.0,1791.0,4.037233950174774,444.0,218.0,Продукты,Тент,138477.0,29715.0,345953.0
2568.0,19331.0,37.8,511.0,206.0,Одежда,Тент,191088.0,41070.0,291770.0
699.0,829.0,2.1811469061141526,380.0,209.0,Продукты,Рефрижератор,123158.0,21287.0,230209.0
1053.0,5451.0,15.2,359.0,238.0,Техника,Тент,125545.0,21851.0,184357.0
717.0,8472.0,50.1,169.0,185.0,Мебель,Тент,143650.0,32064.0,190826.0
1418.0,24479.0,23.4,1046.0,245.0,Стройматериалы,Грузовик,158615.0,33429.0,246547.0
2561.0,12388.0,24.0,516.0,254.0,Продукты,Грузовик,121022.0,29843.0,346227.0
1044.0,3421.0,23.6,145.0,187.0,Мебель,Грузовик,140888.0,24141.0,214781.0
1233.0,1285.0,2.365854679796504,543.0,183.0,Продукты,Тент,114263.0,25265.0,230324.0
2536.0,25246.0,41.2,613.0,199.0,Стройматериалы,Тент,134756.0,26446.0,315074.0
1516.0,4645.0,52.8,88.0,224.0,Мебель,Грузовик,,,274238.0
1598.0,25480.0,80.9,315.0,223.0,Продукты,Грузовик,186545.0,28337.0,308568.0
2667.0,30720.0,80.2,383.0,260.0,Стройматериалы,Грузовик,129447.0,23799.0,305200.0
1487.0,31099.0,18.7,1663.0,190.0,Стройматериалы,Тент,121897.0,30206.0,225057.0
1989.0,3014.0,35.7,84.0,197.0,Мебель,Грузовик,126188.0,29475.0,240965.0
351.0,3484.0,35.6,98.0,256.0,Мебель,,182242.0,35894.0,267222.0
569.0,5570.0,14.8,376.0,194.0,Техника,Тент,174954.0,34071.0,206503.0
1219.0,7391.0,25.0,296.0,237.0,Техника,Тент,175349.0,31393.0,251164.0
1522.0,14932.0,37.5,398.0,237.0,,Тент,159223.0,32934.0,261132.0
2973.0,2618.0,24.8,106.0,181.0,Мебель,Грузовик,144068.0,23774.0,285120.0
2932.0,22291.0,48.17525633158105,463.0,246.0,Одежда,Грузовик,115683.0,23814.0,241236.0
2629.0,1042.0,2.4111424099550627,432.0,260.0,Продукты,Рефрижератор,108100.0,20980.0,455123.0
945.0,6458.0,46.2,140.0,252.0,Мебель,Тент,122774.0,26560.0,210473.0
3033.0,7491.0,15.306499642859468,489.0,256.0,Мебель,Тент,194583.0,41596.0,503971.0
2024.0,10314.0,27.0,382.0,215.0,Одежда,Грузовик,191345.0,46225.0,287842.0
1164.0,29750.0,56.9,523.0,205.0,Стройматериалы,Грузовик,147093.0,25575.0,218168.0
2004.0,22309.0,50.6,441.0,223.0,Стройматериалы,Тент,182982.0,44751.0,317239.0
133.0,1316.0,3.399677610208358,387.0,217.0,Продукты,Тент,130896.0,23329.0,183827.0
480.0,8674.0,42.2,206.0,207.0,Техника,Тент,144861.0,28431.0,180538.0
2486.0,1864.0,4.778770351884974,390.0,253.0,Продукты,Тент,178793.0,28347.0,435546.0
,19667.0,53.4,368.0,185.0,Одежда,Тент,169766.0,34186.0,
1166.0,1303.0,4.7,277.0,225.0,Техника,Грузовик,100122.0,23498.0,164785.0
1564.0,2040.0,9.7,210.0,229.0,Техника,Грузовик,140690.0,27988.0,218868.0
2629.0,1117.0,15.201340663111091,73.0,238.0,Мебель,Грузовик,172224.0,40341.0,388426.0
1879.0,5445.0,18.7,291.0,185.0,Техника,Тент,132327.0,20881.0,212537.0
1249.0,10628.0,4.3,2472.0,181.0,Стройматериалы,Грузовик,158634.0,28435.0,212571.0
418.0,4570.0,14.3,320.0,233.0,Техника,Грузовик,173646.0,36407.0,189376.0
903.0,12522.0,48.3,259.0,238.0,Техника,Тент,193576.0,29995.0,248192.0
2919.0,8732.0,62.7,139.0,195.0,Мебель,Грузовик,153485.0,38021.0,347145.0
1365.0,15853.0,9.5,1669.0,227.0,Стройматериалы,Тент,193203.0,46525.0,332938.0
1417.0,39611.0,25.9,1529.0,202.0,Стройматериалы,Тент,170908.0,38545.0,283041.0
1513.0,1532.0,3.4272821910797373,447.0,216.0,Продукты,Тент,123268.0,24497.0,281758.0
2540.0,376.0,0.6513507328191559,577.0,259.0,Продукты,Рефрижератор,128684.0,24685.0,427985.0
1881.0,4973.0,23.6,211.0,215.0,Техника,Грузовик,117142.0,27360.0,206077.0
2117.0,5653.0,45.7,124.0,238.0,Мебель,Грузовик,135859.0,25474.0,277748.0
1212.0,4259.0,6.690142418833663,637.0,255.0,Мебель,Грузовик,134263.0,33109.0,235067.0
167.0,28364.0,43.8,648.0,199.0,Продукты,Грузовик,176943.0,35825.0,208106.0
2861.0,13102.0,33.47014533008941,391.0,234.0,Техника,Грузовик,113420.0,25569.0,297840.0
2760.0,4498.0,22.6,199.0,231.0,Мебель,Грузовик,183109.0,34526.0,363580.0
2706.0,15721.0,62.8,250.0,249.0,Техника,Тент,127454.0,24925.0,327901.0
2684.0,37932.0,63.1,601.0,237.0,Одежда,Грузовик,189504.0,31165.0,307399.0
2583.0,23906.0,24.1,992.0,210.0,Стройматериалы,Грузовик,161228.0,38925.0,336421.0
1958.0,19975.0,93.3,214.0,185.0,Стройматериалы,Тент,178617.0,39543.0,327052.0
